Player,Pos,Tm,Total,avg,gtd,gtd_avg,gtd_pct,OTC_IDs
Vance McDonald,TE,Steelers,"$32,500,000","$6,500,000","$9,100,000","$1,820,000",28.00%,vance-mcdonald/2452/
Greg Robinson,LT,Browns,"$6,500,000","$6,500,000","$500,000","$500,000",7.70%,greg-robinson/2941/
Eric Ebron,TE,Colts,"$13,000,000","$6,500,000","$6,000,000","$3,000,000",46.20%,eric-ebron/2949/
Ricardo Allen,S,Falcons,"$19,500,000","$6,500,000","$7,414,000","$2,471,333",38.00%,ricardo-allen/3086/
Whitney Mercilus,34OLB,Texans,"$26,000,000","$6,500,000","$10,681,012","$2,670,253",41.10%,whitney-mercilus/1692/
Ronald Darby,CB,Eagles,"$6,500,000","$6,500,000","$4,500,000","$4,500,000",69.20%,ronald-darby/3898/
Jaquiski Tartt,S,49ers,"$13,000,000","$6,500,000","$5,521,865","$2,760,933",42.50%,jaquiski-tartt/3894/
Taylor Gabriel,WR,Bears,"$26,000,000","$6,500,000","$14,000,000","$3,500,000",53.80%,taylor-gabriel/3775/
Lamar Miller,RB,Texans,"$26,000,000","$6,500,000","$14,000,000","$3,500,000",53.80%,lamar-miller/705/
Mohamed Sanu,WR,Falcons,"$32,500,000","$6,500,000","$14,000,000","$2,800,000",43.10%,mohamed-sanu/195/
Marcus Cannon,RT,Patriots,"$32,500,000","$6,500,000","$12,350,000","$2,470,000",38.00%,marcus-cannon/1228/
Joey Bosa,43DE,Chargers,"$25,873,672","$6,468,418","$25,873,672","$6,468,418",100.00%,joey-bosa/4716/
Daniel Jones,QB,Giants,"$25,664,056","$6,416,014","$25,664,056","$6,416,014",100.00%,daniel-jones/7797/
Corey Davis,WR,Titans,"$25,394,750","$6,348,688","$25,394,750","$6,348,688",100.00%,corey-davis/5589/
Jameis Winston,QB,Buccaneers,"$25,351,277","$6,337,819","$25,351,277","$6,337,819",100.00%,jameis-winston/3849/
D.J. Hayden,CB,Jaguars,"$19,000,000","$6,333,333",$0,$0,0.00%,d-j-hayden/2193/
Tahir Whitehead,43OLB,Raiders,"$19,000,000","$6,333,333","$6,075,000","$2,025,000",32.00%,tahir-whitehead/1078/
Jack Doyle,TE,Colts,"$18,900,000","$6,300,000","$7,500,000","$2,500,000",39.70%,jack-doyle/2520/
Marquise Goodwin,WR,49ers,"$18,850,000","$6,283,333","$6,450,000","$2,150,000",34.20%,marquise-goodwin/2223/
Tyler Kroft,TE,Bills,"$18,750,000","$6,250,000","$6,300,000","$2,100,000",33.60%,tyler-kroft/3933/
Ezekiel Elliott,RB,Cowboys,"$24,956,338","$6,239,085","$24,956,338","$6,239,085",100.00%,ezekiel-elliott/4717/
Quandre Diggs,S,Lions,"$18,600,000","$6,200,000","$7,500,000","$2,500,000",40.30%,quandre-diggs/4048/
Vince Williams,ILB,Steelers,"$18,600,000","$6,200,000","$6,700,000","$2,233,333",36.00%,vince-williams/2353/
CJ Uzomah,TE,Bengals,"$18,300,000","$6,100,000","$6,250,000","$2,083,333",34.20%,cj-uzomah/4005/
Kyle Long,RG,Bears,"$12,200,000","$6,100,000","$2,500,000","$1,250,000",20.50%,kyle-long/2432/
Micah Hyde,S,Bills,"$30,500,000","$6,100,000","$10,300,000","$2,060,000",33.80%,micah-hyde/2320/
Jamon Brown,RG,Falcons,"$18,250,000","$6,083,333","$12,500,000","$4,166,667",68.50%,jamon-brown/3920/
Marcus Mariota,QB,Titans,"$24,213,974","$6,053,494","$24,213,974","$6,053,494",100.00%,marcus-mariota/3850/
Denzel Perryman,ILB,Chargers,"$12,050,000","$6,025,000","$4,900,000","$2,450,000",40.70%,denzel-perryman/3896/
T.J. McDonald,S,Dolphins,"$24,010,000","$6,002,500","$6,260,000","$1,565,000",26.10%,t-j-mcdonald/2222/
Jason Peters,LT,Eagles,"$6,000,000","$6,000,000","$3,500,000","$3,500,000",58.30%,jason-peters/756/
Daryl Williams,RT,Panthers,"$6,000,000","$6,000,000","$3,000,000","$3,000,000",50.00%,daryl-williams/3950/
Alejandro Villanueva,LT,Steelers,"$24,000,000","$6,000,000","$6,500,000","$1,625,000",27.10%,alejandro-villanueva/2939/
Brandon Carr,CB,Ravens,"$24,000,000","$6,000,000","$4,000,000","$1,000,000",16.70%,brandon-carr/606/
Darryl Roberts,CB,Jets,"$18,000,000","$6,000,000","$4,500,000","$1,500,000",25.00%,darryl-roberts/4095/
Alex Okafor,43DE,Chiefs,"$18,000,000","$6,000,000","$6,805,000","$2,268,333",37.80%,alex-okafor/2277/
Kenny Vaccaro,S,Titans,"$24,000,000","$6,000,000","$7,250,000","$1,812,500",30.20%,kenny-vaccaro/2335/
Johnathan Joseph,CB,Texans,"$6,000,000","$6,000,000","$1,500,000","$1,500,000",25.00%,johnathan-joseph/1670/
Marcus Gilbert,RT,Cardinals,"$30,000,000","$6,000,000","$7,650,000","$1,530,000",25.50%,marcus-gilbert/1619/
Nick Boyle,TE,Ravens,"$18,000,000","$6,000,000","$10,000,000","$3,333,333",55.60%,nick-boyle/4019/
Mark Barron,ILB,Steelers,"$12,000,000","$6,000,000","$5,750,000","$2,875,000",47.90%,mark-barron/355/
Quenton Nelson,LG,Colts,"$23,888,912","$5,972,228","$23,888,912","$5,972,228",100.00%,quenton-nelson/6891/
Denico Autry,43DT,Colts,"$17,800,000","$5,933,333","$6,500,000","$2,166,667",36.50%,denico-autry/3776/
Jalen Ramsey,CB,Jaguars,"$23,350,998","$5,837,750","$23,350,998","$5,837,750",100.00%,jalen-ramsey/4718/
Devon Kennard,43OLB,Lions,"$17,250,000","$5,750,000","$7,500,000","$2,500,000",43.50%,devon-kennard/3113/
John Miller,RG,Bengals,"$17,100,000","$5,700,000","$6,500,000","$2,166,667",38.00%,john-miller/3929/
Josh Allen,43DE,Jaguars,"$22,742,636","$5,685,659","$22,742,636","$5,685,659",100.00%,josh-allen/7798/
Amari Cooper,WR,Cowboys,"$22,663,120","$5,665,780","$22,663,120","$5,665,780",100.00%,amari-cooper/3852/
Jesse James,TE,Lions,"$22,600,000","$5,650,000","$10,500,000","$2,625,000",46.50%,jesse-james/4008/
Isaac Seumalo,LG,Eagles,"$17,627,000","$5,626,000","$7,849,000","$2,616,333",44.50%,isaac-seumalo/4792/
Nick Easton,LG,Saints,"$22,500,000","$5,625,000","$4,000,000","$1,000,000",17.80%,nick-easton/4393/
J.C. Tretter,C,Browns,"$16,750,000","$5,583,333","$6,500,000","$2,166,667",38.80%,j-c-tretter/2369/
Jamal Adams,S,Jets,"$22,258,808","$5,564,702","$22,258,808","$5,564,702",100.00%,jamal-adams/5590/
Preston Brown,ILB,Bengals,"$16,500,000","$5,500,000","$4,800,000","$1,600,000",29.10%,preston-brown/3012/
Tyrod Taylor,QB,Chargers,"$11,000,000","$5,500,000","$6,000,000","$3,000,000",54.50%,tyrod-taylor/1407/
Laken Tomlinson,LG,49ers,"$16,500,000","$5,500,000","$6,600,944","$2,200,315",40.00%,laken-tomlinson/3876/
Demar Dotson,RT,Buccaneers,"$16,500,000","$5,500,000","$4,250,000","$1,416,667",25.80%,demar-dotson/334/
Ryan Fitzpatrick,QB,Dolphins,"$11,000,000","$5,500,000","$7,000,000","$3,500,000",63.60%,ryan-fitzpatrick/1338/
