"Player","Team","Pos","doBest","doECR","doSD","doWorst","dpBest","dpECR","dpSD","dpWorst","roBest","roECR","rookBest","rookECR","rookSD","rookWorst","roSD","roWorst","rpBest","rpECR","rpSD","rpWorst","woBest","woECR","woSD","woWorst","wpBest","wpECR","wpSD","wpWorst","ScrapeDate"
"Matt Milano","BUF","LB",,,,,,,,,53,77,,,,,15.2,94,25,44.2,8.4,62,30,50.8,11.9,60,27,35.7,7.7,48,2019-09-05
"Everson Griffen","MIN","DL",,,,,,,,,7,77.2,,,,,48.1,210,5,18.8,3.7,39,61,72,9.6,220,15,19.6,3.9,30,2019-09-05
"Von Miller","DEN","LB",,,,,,,,,31,77.7,,,,,44,208,9,35.2,10.3,69,59,72.2,2.5,83,33,38,4.8,60,2019-09-05
"Jabrill Peppers","NYG","DB",,,,,,,,,32,78.4,,,,,44.1,159,12,31.1,21.9,101,52,72.5,13.3,94,11,24.6,7.3,46,2019-09-05
"Christian Kirk","ARI","WR",47,66.8,13.8,124,17,29.4,3.7,49,45,78.5,,,,,15.2,133,20,32.9,5.6,54,38,65,8.7,127,22,36.7,4,67,2019-09-05
"Mark Barron","PIT","LB",,,,,,,,,24,78.7,,,,,40.3,120,15,62.7,17.3,97,,,,,60,75.7,17.4,100,2019-09-05
"Ezekiel Ansah","SEA","DL",,,,,,,,,33,79,,,,,46.5,147,5,25.6,8.1,50,84,176.7,120.6,347,21,30.4,4.5,93,2019-09-05
"Justin Simmons","DEN","DB",,,,,,,,,19,80.4,,,,,3.3,84,5,27.5,9.9,58,87,114.5,27.5,142,24,28.6,2.3,63,2019-09-05
"Matt Ryan","ATL","QB",60,105,22.2,183,6,10.9,2.5,18,36,80.5,,,,,15.4,270,1,5.5,2,17,,,,,6,16.9,3.5,23,2019-09-05
"Patrick Onwuasor","BAL","LB",,,,,,,,,32,80.7,,,,,34.5,161,18,36.5,9.1,55,11,52,14.5,75,11,28.7,4.5,42,2019-09-05
"TJ Watt","PIT","LB",,,,,,,,,42,81.4,,,,,34,160,26,37.9,8.2,54,40,60.8,11.6,73,24,38.6,5.6,55,2019-09-05
"Olivier Vernon","CLE","DL",,,,,,,,,20,81.5,,,,,53.9,221,12,20.8,4.9,31,51,59.6,8.5,179,12,15.3,3.4,24,2019-09-05
"Dee Ford","SFO","DL",,,,,,,,,24,81.6,,,,,68.2,270,13,19.4,9.8,48,26,58,5.6,139,9,13.9,1.6,16,2019-09-05
"Sam Eguavoen","MIA","LB",,,,,,,,,51,81.8,,,,,31,139,27,43.3,10.3,63,44,92.8,52.7,206,26,48,17,88,2019-09-05
"Shaq Thompson","CAR","LB",,,,,,,,,75,82.3,,,,,5.8,91,33,49.7,15.7,91,24,33,9,42,23,41.8,8.5,51,2019-09-05
"Adrian Amos","GBP","DB",,,,,,,,,28,83.7,,,,,12.4,100,11,29.1,11.9,61,83,94.6,10.2,113,18,27,5.8,47,2019-09-05
"Corey Davis","TEN","WR",37,53.3,12.3,108,14,24.6,4.9,44,45,83.7,,,,,15.2,133,20,35.4,5.7,54,38,63,9.6,98,22,35.8,4.6,62,2019-09-05
"Cameron Heyward","PIT","DL",,,,,,,,,38,83.9,,,,,47.4,206,14,18.6,1.9,27,65,110.4,56.6,222,17,22.9,2.1,32,2019-09-05
"Matt Breida","SFO","RB",71,120.5,21.1,179,28,41,4.7,56,41,83.9,,,,,22.6,223,20,35.5,6.4,72,44,87,16.2,182,17,29.7,4.4,60,2019-09-05
"Curtis Samuel","CAR","WR",51,91.4,20.7,155,23,38.6,6.4,102,55,84.4,,,,,16.5,195,24,35.1,5.9,68,32,64.1,8,91,18,36.3,4.1,47,2019-09-05
"Sammy Watkins","KCC","WR",43,73.6,16.8,154,23,32.8,6.1,55,42,84.4,,,,,14.9,137,19,35.1,5.7,57,33,69.1,10,132,19,39.2,4.2,70,2019-09-05
"Jared Cook","NOS","TE",73,143.6,19.1,191,8,15.5,2.4,20,9,84.7,,,,,20.6,180,1,8,2,17,39,64.2,8.7,101,3,7,1.2,13,2019-09-05
"Tashaun Gipson","HOU","DB",,,,,,,,,55,85,,,,,30,115,20,61.8,25.3,96,,,,,,,,,2019-09-05
"Eddie Jackson","CHI","DB",,,,,,,,,27,85.3,,,,,44.2,134,10,35.5,16.8,84,,,,,26,32.6,1.8,50,2019-09-05
"Sterling Shepard","NYG","WR",63,94.6,18.7,159,25,43.1,7.1,56,45,87.1,,,,,14.3,136,23,36.2,5.2,56,38,56,7.9,97,22,31.9,3.8,52,2019-09-05
"Justin Houston","IND","DL",,,,,,,,,22,87.3,,,,,72.6,291,12,21.3,11,56,56,66.6,7.1,175,14,16.7,1.4,23,2019-09-05
"Will Fuller","HOU","WR",40,73.4,11,98,21,34.7,5.1,49,51,87.6,,,,,14.4,166,22,36.8,5.6,66,20,52.6,10.2,100,10,29.8,5.3,55,2019-09-05
"Vontaze Burfict","OAK","LB",,,,,,,,,58,87.7,,,,,31.1,153,22,43.2,14,84,33,73.8,23,103,19,39.5,9.2,56,2019-09-05
"Vince Williams","PIT","LB",,,,,,,,,59,87.7,,,,,20.5,106,27,58.2,12.8,73,,,,,68,73.5,5.5,79,2019-09-05
"KJ Wright","SEA","LB",,,,,,,,,50,87.8,,,,,33.8,149,20,39.8,9,55,97,98.5,1.5,100,29,47.4,3.2,54,2019-09-05
"LeSean McCoy","KCC","RB",126,171,36.2,285,42,54,5.7,85,40,88,,,,,21.7,158,19,37.2,6.2,58,69,116.7,18.2,174,24,39.5,4.6,56,2019-09-05
"Devin Singletary","BUF","RB",46,110.4,26.7,157,21,38.5,7.2,51,30,88.8,4,12.6,4.8,23,26.5,176,16,37.1,7.1,59,68,125.2,25.9,211,23,40.5,6.1,65,2019-09-05
"Kenny Vaccaro","TEN","DB",,,,,,,,,62,89,,,,,27,116,22,42.8,15.4,74,,,,,23,33.3,3.2,36,2019-09-05
"Kenny Clark","GBP","DL",,,,,,,,,59,89.5,,,,,29,137,4,28.1,6.7,44,73,97.3,24.5,150,16,24.6,3.4,39,2019-09-05
"Bradley Chubb","DEN","LB",,,,,,,,,50,89.8,,,,,24.3,135,21,39.9,7.4,62,50,78.2,14.6,92,29,43.4,7.2,62,2019-09-05
"Jadeveon Clowney","SEA","DL",,,,,,,,,33,90.2,,,,,72.3,247,7,20.4,8.8,38,49,82.6,16.4,166,7,18.1,4.6,27,2019-09-05
"Carson Wentz","PHI","QB",37,72.4,14.5,108,3,5.7,1.7,10,56,90.4,,,,,14.7,271,3,7.2,2.9,18,,,,,1,5.2,2.1,15,2019-09-05
"Rashaad Penny","SEA","RB",44,70.9,12.9,130,19,26.9,4.1,35,35,91,,,,,17.9,199,16,38.5,5.1,58,58,105.6,14.8,157,19,36.5,4.1,55,2019-09-05
"Cam Newton","CAR","QB",47,98,18.2,159,5,9.3,2.1,19,52,91.5,,,,,13.8,273,2,7.7,2.3,20,,,,,2,8.6,3,17,2019-09-05
"Damon Harrison","DET","DL",,,,,,,,,52,91.5,,,,,51.5,205,13,26.3,8.6,50,64,149,100.4,290,16,26.9,4.4,59,2019-09-05
"Haason Reddick","ARI","LB",,,,,,,,,73,91.8,,,,,10.8,99,34,48.8,11,71,,,,,29,44,11.2,56,2019-09-05
"Preston Brown","CIN","LB",,,,,,,,,88,92,,,,,4,96,37,50,6.7,58,37,67.8,16.8,87,22,44.1,6.6,58,2019-09-05
"Marvin Jones","DET","WR",82,106.2,21.2,171,31,45.6,6.4,69,54,92.4,,,,,14.4,158,24,38.5,5.2,62,28,53.9,8.2,82,15,30.7,4.4,44,2019-09-05
"Vance McDonald","PIT","TE",62,137.1,28.5,185,7,15.8,4.1,30,52,92.7,,,,,25.9,235,5,8.7,2.2,21,55,73.2,10,117,5,8.5,1.3,16,2019-09-05
"Jaquiski Tartt","SFO","DB",,,,,,,,,69,93.5,,,,,18,119,14,35.3,13.9,74,58,72.8,11.6,92,14,19.9,6.1,31,2019-09-05
"Royce Freeman","DEN","RB",51,93.2,12.9,127,25,34.4,4.2,42,65,93.6,,,,,19.1,166,29,39.2,4.6,53,69,109.1,13.3,154,22,37.6,3.6,59,2019-09-05
"Ronnie Harrison","JAC","DB",,,,,,,,,68,94.5,,,,,26.5,121,20,36.4,14.4,75,46,76.6,17.6,97,8,23.3,2,36,2019-09-05
"Morgan Burnett","CLE","DB",,,,,,,,,51,95.2,,,,,43.8,177,10,29.7,10.1,108,,,,,20,44.1,22.8,98,2019-09-05
"Larry Fitzgerald","ARI","WR",123,166.3,20.1,231,50,71.1,8.5,96,49,95.4,,,,,17.2,148,22,39.3,6.3,58,38,63.2,9.1,92,22,36,4.3,49,2019-09-05
"Dante Pettis","SFO","WR",52,82.5,12.7,130,25,37.5,5.5,54,53,96.2,,,,,16.3,152,23,40,6.3,62,28,62.1,11.2,144,19,34.8,5.4,74,2019-09-05
"Sean Davis","PIT","DB",,,,,,,,,90,96.5,,,,,6.5,103,27,40,10.9,63,94,121,27,148,29,43.3,10,67,2019-09-05
"Lorenzo Alexander","BUF","LB",,,,,,,,,89,97,,,,,8,105,40,51.8,11.5,73,85,90.5,5.9,100,39,46,5.2,52,2019-09-05
"Russell Wilson","SEA","QB",49,78.5,16.3,152,4,6.5,1.8,15,54,97.6,,,,,15.9,274,3,9.1,3.1,18,,,,,1,7.8,3.1,17,2019-09-05
"David Njoku","CLE","TE",34,74.7,11.1,116,5,7.4,1.2,12,48,98.9,,,,,20.5,204,4,9.6,2.2,18,62,82.9,12.3,126,7,10.5,2,19,2019-09-05
"Karl Joseph","OAK","DB",,,,,,,,,28,102,,,,,63.9,184,5,60.6,39.3,111,,,,,51,81.5,30.5,112,2019-09-05
"Jared Goff","LAR","QB",54,86.3,12,119,4,7.7,2,24,69,103.2,,,,,15.1,276,3,9.9,3,19,,,,,4,12.3,2.3,19,2019-09-05
"Dion Lewis","TEN","RB",119,154.5,18.1,212,39,51.7,5,74,65,105.3,,,,,21.2,200,29,42.7,5.6,63,73,124.1,13.1,153,31,40.8,2.8,48,2019-09-05
"Drew Brees","NOS","QB",97,146.7,24,205,13,19.6,2.2,25,36,106.1,,,,,16.1,278,1,11,3.2,23,,,,,1,4.4,2.3,22,2019-09-05
"Jurrell Casey","TEN","DL",,,,,,,,,78,106.5,,,,,50.5,219,20,23.7,2.1,32,56,90.7,34.1,137,13,23.7,4.2,32,2019-09-05
"Emmanuel Sanders","DEN","WR",106,155.2,24.7,209,38,62.1,11.7,84,49,106.6,,,,,23.8,203,22,43.5,8.6,71,40,78,17,132,23,41.8,8,70,2019-09-05
"Jameis Winston","TBB","QB",61,111.3,18,156,6,12.9,2.5,19,59,106.9,,,,,13.3,279,3,11.1,2.9,20,,,,,2,4.8,2.6,13,2019-09-05
"Austin Hooper","ATL","TE",94,124.7,13.6,157,8,12.4,1.8,26,52,107.3,,,,,23,211,6,10.3,2.3,20,70,88.6,10.4,120,8,11.2,1.7,18,2019-09-05
"Jonathan Allen","WAS","DL",,,,,,,,,65,108.2,,,,,57.9,223,15,26.8,4.5,45,72,127.7,63.2,216,20,28,2.9,36,2019-09-05
"Jordan Howard","PHI","RB",94,127.6,20.4,181,35,43.4,5.3,59,61,108.3,,,,,26.9,215,27,43.2,6.9,71,58,109.4,18.1,158,19,37.3,4.9,52,2019-09-05
"Courtland Sutton","DEN","WR",43,77.6,16.2,130,21,35.4,5.9,54,66,110.5,,,,,16,194,28,45.5,6,67,54,79.5,10.1,116,32,43.7,4.6,60,2019-09-05
"Darrell Henderson","LAR","RB",56,99.7,27.8,170,20,35.9,12.9,82,40,111,4,10,3.2,17,30.9,257,19,43.8,7.2,74,105,153.2,14.6,241,37,49.4,4.7,71,2019-09-05
"Geronimo Allison","GBP","WR",86,149.1,25.9,186,33,59.2,10.2,83,53,111.7,,,,,17.1,152,22,45.6,6.2,62,32,82.4,10.9,122,18,44,5.8,57,2019-09-05
"Kalen Ballage","MIA","RB",75,155.6,25,202,30,51.1,7.4,84,58,111.7,,,,,22.7,200,27,44.1,5.6,66,102,148.5,13.4,173,34,48.1,3.8,57,2019-09-05
"Kiko Alonso","NOS","LB",,,,,,,,,31,112.4,,,,,149.6,506,18,45.2,30.3,128,,,,,21,41.3,14.4,52,2019-09-05
"Chandler Jones","ARI","LB",,,,,,,,,74,114.3,,,,,46.2,179,35,47,7.1,62,,,,,41,48.3,2.5,57,2019-09-05
"Lamar Jackson","BAL","QB",38,106.6,18.3,161,4,12.2,3.4,20,62,114.6,,,,,19.5,269,3,12.3,3.6,27,,,,,1,8.3,3.4,19,2019-09-05
"Marquez Valdes-Scantling","GBP","WR",52,130.6,20.7,176,26,53,6.8,70,67,115.3,,,,,18.1,233,29,46.7,6.4,79,63,93.6,9.2,132,35,49.5,4,69,2019-09-05
"Kyler Murray","ARI","QB",39,90.1,15.2,133,4,8.3,2.1,22,69,115.9,1,9.9,4.1,19,27.2,277,4,12.3,3.8,25,,,,,2,15.3,3.6,25,2019-09-05
"Ndamukong Suh","TBB","DL",,,,,,,,,61,116,,,,,55,171,8,37.4,8,56,,,,,35,41.6,5.2,53,2019-09-05
"Fletcher Cox","PHI","DL",,,,,,,,,44,116.2,,,,,86.8,307,17,24.6,2.9,62,87,121.8,53.8,229,20,24.9,1.5,34,2019-09-05
"Shaun Dion Hamilton","WAS","LB",,,,,,,,,70,116.5,,,,,46.5,163,33,49.2,4.5,56,,,,,42,55,14.4,83,2019-09-05
"Micah Hyde","BUF","DB",,,,,,,,,62,117.5,,,,,55.5,173,14,46.8,21.4,107,,,,,36,54.5,20,88,2019-09-05
"Ben Roethlisberger","PIT","QB",106,155.7,28.6,217,16,21.5,2.9,28,63,119.3,,,,,17,285,5,13.8,3.4,23,,,,,5,14.4,3.3,25,2019-09-05
"Marcus Davenport","NOS","DL",,,,,,,,,30,119.5,,,,,103.5,346,15,30.8,5.6,82,64,125.6,97.2,319,19,35.3,18.9,79,2019-09-05
"Anthony Miller","CHI","WR",66,96.4,17.3,143,25,43.2,6.6,68,66,120.3,,,,,20,227,28,48.7,7,75,63,91.4,12.2,180,35,49.1,7.2,94,2019-09-05
"Nyheim Hines","IND","RB",103,132.8,16.2,165,37,47.4,5.4,67,73,120.3,,,,,27.6,223,34,47.4,7.2,70,93,137.7,15.5,192,33,43.9,4.2,62,2019-09-05
"Delanie Walker","TEN","TE",143,212.5,28.1,253,19,26.4,3.2,33,55,120.6,,,,,29.6,291,6,11.8,2.7,26,55,82,10.8,129,5,9.8,1.7,20,2019-09-05
"Peyton Barber","TBB","RB",112,185.7,22.4,231,34,61.3,6.2,81,68,120.7,,,,,24.3,201,30,46.5,6.2,67,73,128.4,17.9,165,24,41.8,4,55,2019-09-05
"Dak Prescott","DAL","QB",53,104.2,18.1,154,5,11,2.4,22,69,121.9,,,,,18.7,275,7,14.1,2.9,24,,,,,4,11,3.2,20,2019-09-05
"Michael Gallup","DAL","WR",68,102.3,19.7,154,30,48.1,6.1,80,76,121.9,,,,,23.2,259,34,49.2,7.5,90,48,82.8,10.9,117,27,44.8,5.2,61,2019-09-05
"Johnathan Abram","OAK","DB",,,,,,,,,16,123,,,,,134.2,418,5,24.4,12,212,55,90,24.3,130,6,26.7,10.9,56,2019-09-05
"Brandon Graham","PHI","DL",,,,,,,,,45,123,,,,,104.6,302,20,32.5,8.9,59,81,169,88,257,22,28.6,2.8,45,2019-09-05
"Jamison Crowder","NYJ","WR",100,164.4,22,219,46,68.2,10.4,91,80,124.3,,,,,20.7,218,33,50.4,7.3,75,48,86.4,9.5,135,28,45.9,5,71,2019-09-05
"DeSean Jackson","PHI","WR",123,168,25.9,235,45,72.4,11.5,101,67,124.7,,,,,21.9,201,29,50.4,7.2,77,50,77.8,9.6,117,20,43,4.8,61,2019-09-05
"Donte Moncrief","PIT","WR",113,156.8,18.5,197,40,62.7,6.8,88,56,127.3,,,,,29.1,269,25,50.9,9.1,93,63,88.5,10.2,184,35,47.5,6.8,95,2019-09-05
"Keke Coutee","HOU","WR",58,114.3,20.8,165,26,52.3,8.6,82,87,127.9,,,,,21.8,218,37,51.5,7.1,75,53,103.9,22.6,230,31,55.8,11.1,119,2019-09-05
"Jaylen Samuels","PIT","RB",106,140.2,19.6,189,36,47.4,5.2,84,68,128.3,,,,,24.9,207,30,49.1,6.5,66,119,158.7,11.5,206,45,51.9,4,65,2019-09-05
"Tyrell Williams","OAK","WR",77,142.3,26.8,200,32,64.5,10.4,90,58,128.4,,,,,31.8,263,26,51.1,9.8,87,30,92.4,15.5,145,16,49.3,7.4,75,2019-09-05
"John Brown","BUF","WR",102,144.6,20.4,203,47,61.2,9.2,85,66,129.3,,,,,20,215,28,52.2,6.3,73,46,90.1,10.3,148,26,47.9,4.8,78,2019-09-05
"Golden Tate","NYG","WR",106,130,16.7,168,31,56.2,6.1,71,74,129.5,,,,,23,215,30,52.5,7.9,92,,,,,,,,,2019-09-05
"Justice Hill","BAL","RB",62,111,27.2,194,26,37.7,7.2,51,58,130.2,5,12.1,4.3,30,39.4,275,26,48.6,9.3,81,93,154.5,15.9,192,33,50.5,4.9,62,2019-09-05
"Terrell Edmunds","PIT","DB",,,,,,,,,95,130.5,,,,,35.5,166,23,37.2,21,104,84,86.5,2.5,89,23,30,5.6,42,2019-09-05
"Justin Jackson","LAC","RB",119,191,35.5,271,40,65.9,12.4,96,73,132.2,,,,,39.7,253,34,49.4,9.7,84,70,114.1,18.3,182,28,38.1,4.4,60,2019-09-05
"Carlos Hyde","HOU","RB",133,192.8,42.9,313,48,65.2,9.9,92,72,132.6,,,,,21.5,172,33,48.1,4.6,54,93,166.9,18.1,242,33,55.8,5.1,71,2019-09-05
"Philip Rivers","LAC","QB",117,154.2,24.7,222,16,22,2.4,31,75,133.3,,,,,17.8,291,8,16.1,2.5,26,,,,,6,17.2,3.1,26,2019-09-05
"Adrian Peterson","WAS","RB",164,219.1,42.1,346,52,67.1,9.8,90,61,135.9,,,,,26.9,219,28,51.2,7,71,86,151.6,17.9,223,36,49,5.8,68,2019-09-05
"Chris Thompson","WAS","RB",133,193.3,27.6,250,44,61.7,8.1,79,73,136.1,,,,,30.8,247,34,51.9,8.7,97,92,133.4,16.3,175,33,42.9,4,57,2019-09-05
"Ronald Jones","TBB","RB",82,133.2,34.3,269,33,43.4,5.1,69,73,136.9,,,,,33.9,226,34,51.6,8.5,74,104,156.8,17.3,203,36,52.1,5.1,65,2019-09-05
"Josey Jewell","DEN","LB",,,,,,,,,56,137,,,,,81,218,31,54,9,73,60,96.5,36.5,133,33,48.7,13.5,66,2019-09-05
"Tom Brady","NEP","QB",118,168.3,25.9,226,19,23.4,1.5,26,85,141.1,,,,,21.9,283,7,17.3,2.7,23,,,,,5,15,3.2,25,2019-09-05
"Mitch Trubisky","CHI","QB",84,115.4,14.4,144,6,14.4,2.6,20,84,141.4,,,,,24,281,5,17.3,3.2,26,,,,,8,18.3,3.5,25,2019-09-05
"Leonard Williams","NYJ","DL",,,,,,,,,41,142.3,,,,,117.4,342,17,45.6,12.7,78,78,161.7,106.5,312,22,37.6,6.5,74,2019-09-05
"Eric Ebron","IND","TE",77,111.6,19.8,170,8,12.3,2.9,22,52,143,,,,,47.7,325,5,14.3,4,30,62,110.9,16.5,191,7,15.6,3.2,33,2019-09-05
"Yannick Ngakoue","JAC","DL",,,,,,,,,46,143,,,,,105.1,289,21,30.6,6.1,54,,,,,23,31.3,3.3,42,2019-09-05
"Rashaan Evans","TEN","LB",,,,,,,,,73,144,,,,,95.2,308,35,50.1,15.7,92,71,122,75.5,272,35,50.1,22.3,104,2019-09-05
"Kirk Cousins","MIN","QB",80,121.5,14,154,11,15.4,2.1,22,90,144.1,,,,,23.1,282,7,17.9,2.9,25,,,,,3,14.1,3.4,24,2019-09-05
"James Washington","PIT","WR",73,112.9,24.6,176,32,49,7.3,66,93,144.2,,,,,30.4,276,37,57.4,9.3,97,82,108.2,17.5,185,44,57.2,8,96,2019-09-05
"Ito Smith","ATL","RB",115,164,49.1,315,39,53,10.2,92,78,147.1,,,,,33.7,250,37,55.1,8.6,88,121,169.2,17.2,228,40,56.1,4.7,70,2019-09-05
"Josh Allen","BUF","QB",68,138.8,22.4,197,12,18.1,2,27,85,149.6,,,,,23.8,280,6,18.4,3.2,30,,,,,7,20.3,3,28,2019-09-05
"Giovani Bernard","CIN","RB",137,194.6,38.1,325,41,60.3,8.2,79,73,150.2,,,,,26.8,237,34,55.6,6.8,78,102,156.2,16.5,203,34,50.4,5.7,70,2019-09-05
"DaeSean Hamilton","DEN","WR",87,144.6,16.8,197,39,59,6.4,90,106,153,,,,,30.9,275,43,60.3,8.5,89,64,118.1,15.2,179,43,62.2,7.5,93,2019-09-05
"Anthony Walker","IND","LB",,,,,,,,,79,153,,,,,74,227,34,54.3,7.8,63,74,80,6,86,41,48.8,7.6,63,2019-09-05
"Deone Bucannon","TBB","LB",,,,,,,,,52,153.5,,,,,101.5,255,22,72.4,10.5,87,,,,,,,,,2019-09-05
"Darwin Thompson","KCC","RB",79,152.7,37,242,30,48.2,9,76,78,154.8,8,24.7,5.5,34,42.9,279,36,56.1,10.4,85,148,195.8,16.8,243,42,65.3,5.1,83,2019-09-05
"Mark Andrews","BAL","TE",77,127.2,23.2,176,7,13.1,2.7,19,82,155.2,,,,,52.9,314,7,14.8,4.3,30,57,99.7,13.4,140,6,13,2.7,25,2019-09-05
"Albert Wilson","MIA","WR",113,181.8,25.9,246,46,81.6,14.6,116,76,155.8,,,,,41.3,294,31,60,11.8,94,54,101.4,13.1,134,32,53.8,6.3,70,2019-09-05
"Sean Lee","DAL","LB",,,,,,,,,54,156,,,,,102,258,24,68.3,25.7,86,,,,,,,,,2019-09-05
"Tony Pollard","DAL","RB",86,160.1,38.1,256,33,50.9,9.9,79,70,156,15,27.4,8.4,46,44.9,329,31,56.3,11.4,107,24,126.4,32.1,206,11,42.9,11.8,94,2019-09-05
"Damien Harris","NEP","RB",56,111.4,16.9,198,20,38,6.8,49,70,157.8,10,16.9,2.8,25,35.6,263,31,56.5,8.5,83,139,202.1,19.2,243,48,67.7,5.6,85,2019-09-05
"Mohamed Sanu","ATL","WR",137,214.2,25.8,262,48,91.3,10.5,113,99,157.9,,,,,33.5,265,43,61.5,9.5,95,81,102.2,11.2,156,43,54.8,5.5,80,2019-09-05
"Trey Burton","CHI","TE",85,135.5,20,186,11,16.5,2.4,22,85,158.7,,,,,43.2,319,9,15.7,3.6,29,79,135.8,24.6,212,10,22.5,5.5,40,2019-09-05
"DK Metcalf","SEA","WR",57,87.9,18.6,150,26,37,7,52,93,158.7,2,7.4,3,14,33.9,308,38,61.5,7.9,91,76,133.5,16.9,194,50,69.8,8,98,2019-09-05
"Sam Hubbard","CIN","DL",,,,,,,,,82,160,,,,,78,238,25,43,8.1,55,,,,,24,45.9,9,60,2019-09-05
"Jerry Hughes","BUF","DL",,,,,,,,,57,160.3,,,,,122.9,333,23,37.2,11.1,74,90,155.5,65.5,221,26,30.1,2.2,36,2019-09-05
"Jimmy Garoppolo","SFO","QB",81,126.2,20.5,183,10,15.3,1.6,23,100,160.9,,,,,22.8,284,11,20.8,2.7,27,,,,,2,17.3,3.6,26,2019-09-05
"Kenny Stills","HOU","WR",124,168.2,25.7,245,54,72.4,7.9,97,93,162.3,,,,,37.7,301,38,62.8,11,110,66,125,21.5,233,38,65.9,9.9,112,2019-09-05
"Devin Funchess","IND","WR",114,166.3,24.3,215,47,67,9.7,89,87,162.3,,,,,36.8,286,35,62.5,9.6,99,64,122.1,15.4,160,36,64.5,7.4,83,2019-09-05
"Alexander Mattison","MIN","RB",75,161.1,26.1,212,36,51.4,6.5,65,83,162.7,17,25.4,4.4,43,35.9,272,38,58.6,8.9,89,143,190.6,17.2,226,44,63.7,6.3,95,2019-09-05
"CJ Anderson","DET","RB",166,200.7,17.7,245,49,67.1,9.4,89,91,162.8,,,,,30.1,266,39,59,6.9,81,100,159.7,13.7,183,33,53.2,4.7,72,2019-09-05
"Adam Humphries","TEN","WR",153,187.2,22,232,63,83.2,10.1,99,80,164.3,,,,,32.9,265,33,63.6,8.9,89,54,107,9.5,131,32,56.8,4.7,72,2019-09-05
"Jalen Richard","OAK","RB",125,197.9,34.3,278,40,63.7,8.7,87,75,164.9,,,,,36.1,257,35,59.7,9.2,85,92,167.3,21.2,203,36,54.7,6.9,64,2019-09-05
"Sam Darnold","NYJ","QB",90,120.7,19.2,170,9,15.2,3,23,112,165,,,,,22.3,286,12,21.5,2.7,28,,,,,18,25.4,1.9,32,2019-09-05
"Chicago","CHI","DST",139,221.4,39,301,1,1,0,3,120,167,,,,,12.9,236,1,1.3,0.8,7,,,,,1,9.2,2.8,17,2019-09-05
"Kyle Rudolph","MIN","TE",83,178.9,23.8,234,13,20.5,3.8,31,92,169.1,,,,,38.9,274,9,17,3.4,26,57,106.8,13.1,142,6,14.7,2.9,25,2019-09-05
"Wesley Woodyard","TEN","LB",,,,,,,,,66,169.3,,,,,167.4,459,32,54.1,23.5,113,56,78.5,13,86,40,46.5,6.6,61,2019-09-05
"Frank Gore","BUF","RB",199,282,17,300,64,91.2,11.3,119,75,169.6,,,,,38,256,35,59.3,9.5,85,111,158.3,13.3,199,39,52.8,4.1,65,2019-09-05
"Jamaal Williams","GBP","RB",123,193.9,27.3,260,45,64,9.9,98,77,170.5,,,,,33.4,255,36,60.9,7.9,79,146,183.9,15.4,227,51,60.9,3.6,69,2019-09-05
"Jacksonville","JAC","DST",151,212.2,28.9,253,2,2.8,1,10,118,170.9,,,,,12.6,240,1,3.6,2.5,19,,,,,7,19.2,4.2,30,2019-09-05
"Marquise Goodwin","SFO","WR",132,177.3,23.6,251,57,78.9,10.4,97,108,171,,,,,37.3,277,43,65.1,9.7,95,65,101.6,14,156,37,53.6,6.2,80,2019-09-05
"Kareem Hunt","CLE","RB",29,80.5,23.7,203,15,31.3,8.3,64,77,171.4,,,,,39.3,272,36,60.8,9,81,,,,,,,,,2019-09-05
"Los Angeles","LAR","DST",174,251.4,31.4,289,2,4.6,1.4,6,138,171.5,,,,,13.7,271,1,4.2,2.4,21,,,,,4,11.3,2.6,20,2019-09-05
"Dare Ogunbowale","TBB","RB",162,247,59.5,365,59,77.6,7.3,92,75,172,,,,,48.4,379,35,60.9,12.4,121,103,179.6,27.5,220,35,62.1,10.7,81,2019-09-05
"Malik Hooker","IND","DB",,,,,,,,,72,173,,,,,101,274,21,71.1,35.5,143,,,,,49,84.5,35.5,120,2019-09-05
"Minnesota","MIN","DST",144,230,28.6,262,3,5.4,1.9,10,122,173.5,,,,,14.2,286,2,5.8,2.5,19,,,,,3,11.9,2.2,24,2019-09-05
"Deebo Samuel","SFO","WR",62,106,21,153,31,47.1,9,67,81,174.2,6,12.8,3.6,21,41.9,272,34,65.5,11,98,56,121.8,22,234,33,63.9,10.5,113,2019-09-05
"Devante Parker","MIA","WR",109,162,18,205,46,69.3,8.7,84,94,174.6,,,,,39.4,271,39,65.6,10.2,93,53,116.1,14.9,171,42,61.3,7,89,2019-09-05
"Baltimore","BAL","DST",208,267.4,26.4,305,1,7.2,2.6,12,120,175.3,,,,,21.6,318,1,5.7,3.8,24,,,,,1,1.5,1,7,2019-09-05
"Los Angeles","LAC","DST",145,243.3,41.1,280,2,6.4,1.5,11,132,175.3,,,,,19.6,340,1,6.6,4.2,31,,,,,1,4.8,2.8,16,2019-09-05
"Cleveland","CLE","DST",162,231,64.6,296,3,9.6,3.6,14,125,175.9,,,,,12.9,248,2,8.3,3.3,18,,,,,1,4.9,2,12,2019-09-05
"Jordan Reed","WAS","TE",100,183.5,23.1,240,16,23.5,3.6,30,86,176.4,,,,,49.8,317,8,17.6,4.3,29,49,123.1,25.1,210,4,19.3,5.6,39,2019-09-05
