Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
148,,Marquez Valdes-ScantlingM. Valdes-Scantling GB,WR58,,122,219,148.9,18.0
149,,Jacksonville (JAC)JAC DST,DST3,,78,166,151.4,6.3
150,,Austin EkelerA. Ekeler LAC,RB50,,93,188,155.7,17.1
151,,Greg ZuerleinG. Zuerlein LAR,K1,,83,182,170.1,3.6
152,,Quincy EnunwaQ. Enunwa NYJ,WR59,,111,221,156.5,21.2
153,,Minnesota (MIN)MIN DST,DST4,,79,167,156.9,2.8
154,,Sam DarnoldS. Darnold NYJ,QB22,,148,167,157.5,3.1
155,,Vance McDonaldV. McDonald PIT,TE19,,127,195,158.9,9.9
156,,Ito SmithI. Smith ATL,RB51,,89,212,159.6,17.8
157,,Matthew StaffordM. Stafford DET,QB23,,154,169,160.3,4.0
158,,Los Angeles (LAR)LAR DST,DST5,,80,175,160.4,5.8
Tier 10,
159,,Jimmy GrahamJ. Graham GB,TE20,,127,169,148.3,7.6
160,,Justin TuckerJ. Tucker BAL,K2,,85,183,177.2,4.1
161,,Chris ThompsonC. Thompson WAS,RB52,,118,190,164.1,19.4
162,,DeSean JacksonD. Jackson TB,WR60,,109,240,149.0,14.0
163,,Los Angeles (LAC)LAC DST,DST6,,81,199,164.2,1.9
164,,Houston (HOU)HOU DST,DST7,,82,176,165.0,2.1
165,,Marcus MariotaM. Mariota TEN,QB24,,160,180,167.6,4.3
166,,Harrison ButkerH. Butker KC,K3,,86,215,182.5,5.8
167,,Jamaal WilliamsJ. Williams GB,RB53,,128,240,170.1,9.5
168,,Andy DaltonA. Dalton CIN,QB25,,158,192,170.8,3.7
169,,T.J. YeldonT. Yeldon JAC,RB54,,143,265,173.2,21.1
170,,Alex CollinsA. Collins BAL,RB55,,123,256,158.9,24.1
171,,Peyton BarberP. Barber TB,RB56,,131,227,173.7,19.6
172,,Spencer WareS. Ware KC,RB57,,99,189,159.8,21.5
173,,James WashingtonJ. Washington PIT,WR61,,90,198,175.7,17.4
174,,C.J. AndersonC. Anderson LAR,RB58,,104,234,177.1,19.8
175,,Stephen GostkowskiS. Gostkowski NE,K4,,87,204,189.5,6.1
176,,Derek CarrD. Carr OAK,QB26,,159,197,177.8,7.6
177,,Taylor GabrielT. Gabriel CHI,WR62,,147,190,164.4,8.1
178,,Doug MartinD. Martin OAK,RB59,,119,257,165.8,28.8
179,,Zay JonesZ. Jones BUF,WR63,,106,226,168.2,15.9
180,,Adrian PetersonA. Peterson WAS,RB60,,100,192,182.1,7.9
181,,New Orleans (NO)NO DST,DST8,,84,212,184.3,13.3
182,,Gerald EverettG. Everett LAR,TE21,,136,259,170.8,10.1
183,,Jaylen SamuelsJ. Samuels PIT,RB61,,69,256,155.3,38.2
184,,Devante ParkerD. Parker MIA,WR64,,138,260,171.7,16.2
185,,Kalen BallageK. Ballage MIA,RB62,,134,233,187.9,6.1
186,,Ka'imi FairbairnK. Fairbairn HOU,K5,,90,214,200.1,6.6
187,,Cleveland (CLE)CLE DST,DST9,,88,207,189.1,13.5
188,,Albert WilsonA. Wilson MIA,WR65,,129,226,178.1,14.8
189,,Marqise LeeM. Lee JAC,WR66,,127,210,181.6,18.1
190,,Carlos HydeC. Hyde JAC,RB63,,126,226,183.8,13.1
191,,Denver (DEN)DEN DST,DST10,,89,224,196.6,8.1
192,,Devin FunchessD. Funchess CAR,WR67,,148,220,185.4,17.6
193,,Jalen RichardJ. Richard OAK,RB64,,143,257,198.1,24.6
194,,Dallas GoedertD. Goedert PHI,TE22,,172,236,185.5,13.0
195,,Mohamed SanuM. Sanu ATL,WR68,,109,229,186.0,27.4
196,,Wil LutzW. Lutz NO,K6,,95,218,209.9,11.0
Tier 11,
197,,Tre'Quan SmithT. Smith NO,WR69,,113,215,187.4,12.0
198,,Matt BryantM. Bryant ATL,K7,,94,250,210.9,11.3
199,,Eli ManningE. Manning NYG,QB27,,176,241,202.3,14.8
200,,Demaryius ThomasD. Thomas HOU,WR70,,132,208,159.0,14.6
201,,Buffalo (BUF)BUF DST,DST11,,91,213,204.7,7.3
202,,Dallas (DAL)DAL DST,DST12,,92,225,206.6,12.1
203,,Cameron BrateC. Brate TB,TE23,,153,255,182.0,17.0
204,,Josh RosenJ. Rosen ARI,QB28,,167,254,208.6,23.6
205,,Mike GesickiM. Gesicki MIA,TE24,,166,231,197.2,12.1
206,,Tennessee (TEN)TEN DST,DST13,,93,249,209.9,9.1
207,,Mason CrosbyM. Crosby GB,K8,,97,252,220.5,12.4
208,,Matt PraterM. Prater DET,K9,,100,238,220.9,10.8
209,,Donte MoncriefD. Moncrief JAC,WR71,,155,207,199.6,8.9
210,,Michael CrabtreeM. Crabtree BAL,WR72,,138,231,200.1,19.0
211,,Giovani BernardG. Bernard CIN,RB65,,177,237,200.2,15.6
212,,New England (NE)NE DST,DST14,,96,266,213.7,8.4
213,,Jake ElliottJ. Elliott PHI,K10,,98,250,224.1,10.5
214,,Nelson AgholorN. Agholor PHI,WR73,,154,228,203.3,12.0
215,,Taywan TaylorT. Taylor TEN,WR74,,194,246,206.3,5.4
216,,Paul RichardsonP. Richardson WAS,WR75,,153,231,208.8,12.0
217,,Tyrell WilliamsT. Williams LAC,WR76,,124,230,209.3,12.6
218,,Seattle (SEA)SEA DST,DST15,,99,230,221.5,9.3
219,,Mike DavisM. Davis SEA,RB66,,141,271,221.9,24.9
220,,David MooreD. Moore SEA,WR77,,157,223,199.6,20.4
221,,Josh ReynoldsJ. Reynolds LAR,WR78,,200,239,213.8,5.5
222,,Graham GanoG. Gano CAR,K11,,104,283,233.8,16.2
223,,Equanimeous St. BrownE. St. GB,WR79,,156,216,205.8,7.0
224,,Atlanta (ATL)ATL DST,DST16,,103,265,228.4,20.3
225,,Josh DoctsonJ. Doctson WAS,WR80,,200,230,218.4,4.1
226,,Philadelphia (PHI)PHI DST,DST17,,101,248,229.3,12.8
227,,Tyler EifertT. Eifert CIN,TE25,,121,267,208.4,30.6
228,,Case KeenumC. Keenum DEN,QB29,,197,282,231.4,16.4
229,,Brett MaherB. Maher DAL,K12,,109,273,240.8,17.0
230,,Randall CobbR. Cobb GB,WR81,,202,262,222.5,7.6
231,,D.J. CharkD. Chark JAC,WR82,,210,256,226.2,8.0
232,,Robbie GouldR. Gould SF,K13,,106,302,245.3,14.3
233,,Adam VinatieriA. Vinatieri IND,K14,,108,324,237.1,14.0
234,,Jordy NelsonJ. Nelson OAK,WR83,,101,268,229.5,9.5
235,,Frank GoreF. Gore MIA,RB67,,134,310,231.3,25.9
236,,Chris HoganC. Hogan NE,WR84,,174,256,232.4,10.2
237,,Ricky Seals-JonesR. Seals-Jones ARI,TE26,,180,271,223.1,20.0
238,,Dan BaileyD. Bailey MIN,K15,,110,296,251.8,19.5
239,,Malcolm BrownM. Brown LAR,RB68,,195,313,237.8,13.5
Tier 12,
240,,Michael BadgleyM. Badgley LAC,K16,,102,288,247.4,27.0
241,,Corey ClementC. Clement PHI,RB69,,216,270,238.8,15.2
242,,Ryan TannehillR. Tannehill MIA,QB30,,178,308,248.7,20.1
243,,Jordan WilkinsJ. Wilkins IND,RB70,,199,271,242.2,8.7
244,,Pittsburgh (PIT)PIT DST,DST18,,111,290,250.8,20.1
245,,Willie SneadW. Snead BAL,WR85,,193,262,243.5,7.9
246,,Chase EdmondsC. Edmonds ARI,RB71,,195,316,244.7,14.3
247,,Dez BryantD. Bryant NO,WR86,,206,326,235.5,20.0
248,,Ryan SuccopR. Succop TEN,K17,,119,288,262.4,22.9
249,,Carolina (CAR)CAR DST,DST19,,107,277,248.2,9.3
250,,Mark AndrewsM. Andrews BAL,TE27,,143,259,228.1,28.5
251,,Hayden HurstH. Hurst BAL,TE28,,177,259,228.3,17.0
252,,Keelan ColeK. Cole JAC,WR87,,226,287,242.3,1.0
253,,Justin JacksonJ. Jackson LAC,RB72,,198,272,252.0,6.6
254,,Chris ConleyC. Conley KC,WR88,,225,271,245.3,8.1
255,,John KellyJ. Kelly LAR,RB73,,193,290,254.4,7.9
256,,Ian ThomasI. Thomas CAR,TE29,,135,260,246.4,19.8
257,,Indianapolis (IND)IND DST,DST20,,105,292,256.2,24.3
258,,Ted GinnT. Ginn NO,WR89,,137,328,247.5,20.1
259,,Jason MyersJ. Myers NYJ,K18,,112,281,256.4,21.7
260,,Jake ButtJ. Butt DEN,TE30,,204,288,257.1,17.8
261,,Bilal PowellB. Powell NYJ,RB74,,156,322,250.4,27.9
262,,Arizona (ARI)ARI DST,DST21,,114,322,266.6,21.1
263,,Brandon McManusB. McManus DEN,K19,,116,297,273.3,19.7
264,,Theo RiddickT. Riddick DET,RB75,,184,287,261.2,11.6
265,,Aldrick RosasA. Rosas NYG,K20,,115,304,273.2,26.2
266,,Rashard HigginsR. Higgins CLE,WR90,,189,351,249.5,22.4
267,,Kansas City (KC)KC DST,DST22,,113,307,259.7,19.7
268,,Kelvin BenjaminK. Benjamin KC,WR91,,242,309,252.1,8.6
269,,Rod SmithR. Smith DAL,RB76,,237,315,273.5,9.5
270,,Ryan GrantR. Grant IND,WR92,,244,306,266.2,8.3
271,,Pierre GarconP. Garcon SF,WR93,,205,290,259.1,12.7
272,,Austin Seferian-JenkinsA. Seferian-Jenkins FA,TE31,,231,311,259.7,9.3
273,,Nick VannettN. Vannett SEA,TE32,,240,314,260.5,8.8
274,,J'Mon MooreJ. Moore GB,WR94,,243,313,262.5,6.0
275,,Jeff WilsonJ. Wilson SF,RB77,,194,312,271.4,21.3
276,,Wendell SmallwoodW. Smallwood PHI,RB78,,184,316,271.7,18.6
277,,Devontae BookerD. Booker DEN,RB79,,256,298,278.7,8.1
278,,Sebastian JanikowskiS. Janikowski SEA,K21,,117,300,280.8,11.4
279,,Chris BoswellC. Boswell PIT,K22,,118,318,282.6,20.8
280,,Cole BeasleyC. Beasley DAL,WR95,,222,304,269.9,10.3
281,,Cameron MeredithC. Meredith NO,WR96,,224,315,271.0,8.8
282,,Blake BortlesB. Bortles JAC,QB31,,204,326,279.8,13.9
283,,Kendrick BourneK. Bourne SF,WR97,,239,341,265.3,10.3
284,,Cody ParkeyC. Parkey CHI,K23,,120,338,286.3,13.7
285,,Nick FolesN. Foles PHI,QB32,,157,328,286.6,43.3
286,,Jake KumerowJ. Kumerow GB,WR98,,212,310,272.9,12.4
287,,Mark WaltonM. Walton CIN,RB80,,238,329,289.2,19.5
Tier 13,
288,,Alex SmithA. Smith WAS,QB33,,202,320,267.6,22.1
289,,Breshad PerrimanB. Perriman CLE,WR99,,218,295,279.7,21.2
290,,Danny AmendolaD. Amendola MIA,WR100,,263,319,287.2,9.2
291,,Cordarrelle PattersonC. Patterson NE,WR101,,193,341,270.9,27.6
292,,Joe FlaccoJ. Flacco BAL,QB34,,212,315,293.8,16.0
293,,Detroit (DET)DET DST,DST23,,121,303,294.3,7.6
294,,Wayne GallmanW. Gallman NYG,RB81,,259,315,294.9,10.5
295,,Green Bay (GB)GB DST,DST24,,122,314,296.1,7.9
296,,LeGarrette BlountL. Blount DET,RB82,,254,313,296.9,9.4
297,,Javorius AllenJ. Allen BAL,RB83,,264,308,291.6,8.1
298,,Steven HauschkaS. Hauschka BUF,K24,,124,309,297.8,8.3
299,,Charles ClayC. Clay BUF,TE33,,235,322,266.1,9.0
300,,Rishard MatthewsR. Matthews NYJ,WR102,,246,318,292.8,13.3
301,,New York (NYG)NYG DST,DST25,,125,317,301.2,10.8
302,,Josh LamboJ. Lambo JAC,K25,,123,319,297.5,10.9
303,,Ty MontgomeryT. Montgomery BAL,RB84,,255,312,291.2,14.7
304,,Jermaine KearseJ. Kearse NYJ,WR103,,268,346,292.1,10.1
305,,Deon CainD. Cain IND,WR104,,239,312,286.0,9.8
306,,Trenton CannonT. Cannon NYJ,RB85,,120,336,300.7,45.8
307,,Washington (WAS)WAS DST,DST26,,126,314,295.8,25.1
308,,Luke WillsonL. Willson DET,TE34,,258,317,279.4,4.0
309,,Phillip DorsettP. Dorsett NE,WR105,,269,323,296.1,8.5
310,,Chris IvoryC. Ivory BUF,RB86,,284,331,305.5,5.7
311,,Daniel CarlsonD. Carlson OAK,K26,,128,320,308.2,11.9
312,,Darren SprolesD. Sproles PHI,RB87,,168,322,303.7,13.7
313,,Ameer AbdullahA. Abdullah MIN,RB88,,275,321,304.0,15.3
314,,Tampa Bay (TB)TB DST,DST27,,130,348,310.1,14.8
315,,Trent TaylorT. Taylor SF,WR106,,276,333,301.9,9.7
316,,Cairo SantosC. Santos TB,K27,,131,325,308.6,18.3
317,,Chester RogersC. Rogers IND,WR107,,285,320,306.1,6.6
318,,Corey GrantC. Grant JAC,RB89,,291,327,312.3,5.6
319,,Allen HurnsA. Hurns DAL,WR108,,264,315,300.8,11.4
320,,Keith KirkwoodK. Kirkwood NO,WR109,,216,343,302.4,8.7
321,,Blake JarwinB. Jarwin DAL,TE35,,158,245,203.7,35.6
322,,Miami (MIA)MIA DST,DST28,,127,323,314.5,9.8
323,,Alfred BlueA. Blue HOU,RB90,,281,335,314.9,10.0
324,,Darrel WilliamsD. Williams KC,RB91,,122,361,320.6,27.1
325,,Laquon TreadwellL. Treadwell MIN,WR110,,265,313,299.6,9.8
326,,Jeremy HillJ. Hill NE,RB92,,278,329,316.2,12.0
327,,Greg JosephG. Joseph CLE,K28,,129,318,294.8,8.3
328,,Cameron Artis-PayneC. Artis-Payne CAR,RB93,,279,354,323.4,10.9
329,,Boston ScottB. Scott PHI,RB94,,121,352,322.1,19.4
330,,Alfred MorrisA. Morris SF,RB95,,282,332,322.1,9.4
331,,Dustin HopkinsD. Hopkins WAS,K29,,287,347,314.4,11.4
332,,Jonnu SmithJ. Smith TEN,TE36,,250,258,254.0,3.3
333,,Vernon DavisV. Davis WAS,TE37,,257,359,298.2,36.5
334,,Zach ZennerZ. Zenner DET,RB96,,181,332,316.7,20.1
335,,Teddy BridgewaterT. Bridgewater NO,QB35,,214,334,317.7,10.4
336,,Marcus MurphyM. Murphy BUF,RB97,,299,355,328.0,9.9
Tier 14,
337,,Geoff SwaimG. Swaim DAL,TE38,,209,267,238.0,29.0
338,,Adam ShaheenA. Shaheen CHI,TE39,,271,361,300.8,35.5
339,,Jordan MatthewsJ. Matthews PHI,WR111,,255,346,301.3,32.8
340,,C.J. UzomahC. Uzomah CIN,TE40,,241,246,243.5,2.5
341,,Brian HillB. Hill ATL,RB98,,226,358,317.4,20.0
342,,Mike WallaceM. Wallace PHI,WR112,,237,360,288.0,52.4
343,,Marshawn LynchM. Lynch OAK,RB99,,98,356,319.0,27.5
344,,Will DisslyW. Dissly SEA,TE41,,236,280,258.0,22.0
345,,Trey QuinnT. Quinn WAS,WR113,,222,300,261.0,39.0
346,,Jacquizz RodgersJ. Rodgers TB,RB100,,306,359,329.5,1.7
347,,San Francisco (SF)SF DST,DST29,,300,342,314.8,16.4
348,,Benjamin WatsonB. Watson NO,TE42,,254,294,274.0,20.0
349,,Tyrod TaylorT. Taylor CLE,QB36,,298,334,328.4,1.7
350,,Cincinnati (CIN)CIN DST,DST30,,291,330,307.3,16.5
351,,Dontrelle InmanD. Inman IND,WR114,,215,357,308.0,65.8
352,,DeAndre WashingtonD. Washington OAK,RB101,,292,350,326.3,21.5
353,,Corey ColemanC. Coleman NYG,WR115,,286,299,292.5,6.5
354,,Antonio GatesA. Gates LAC,TE43,,266,325,295.5,29.5
355,,Ryan SwitzerR. Switzer PIT,WR116,,258,343,300.5,42.5
356,,Robert KelleyR. Kelley WAS,RB102,,307,356,324.7,22.2
357,,New York (NYJ)NYJ DST,DST31,,303,318,310.5,7.5
358,,Samaje PerineS. Perine WAS,RB103,,311,349,331.3,15.6
359,,Travis BenjaminT. Benjamin LAC,WR117,,297,336,316.5,19.5
360,,Torrey SmithT. Smith CAR,WR118,,312,329,320.5,8.5
361,,Jaron BrownJ. Brown SEA,WR119,,300,345,322.5,22.5
362,,Tavon AustinT. Austin DAL,WR120,,306,342,324.0,18.0
363,,Kyle JuszczykK. Juszczyk SF,RB104,,331,353,342.0,11.0
