PLAYERID,DRAFTYEAR,POSITION,NAME,COLLEGE,ROUND,PICK,TEAM,NOTES,ATRAS,RAS,,"NOTE: RAS WILL BE INCORRECT FOR MOST 2019 PROSPECTS DUE TO RECENT UPDATES, THIS WILL EVEN OUT OVER TIME"
15468,2018,WR,Calvin Ridley,Alabama,1,26,Falcons,|750REC-2018|,5.14,5.14,,
15469,2018,WR,Cam Phillips,Virginia Tech,,,Bills,,1.72,1.71,,
15470,2018,TE,Cam Serigne,Wake Forest,,,,,2.13,2.12,,
15471,2018,WR,Cam Sims,Alabama,,,,,4.47,4.5,,
15472,2018,WR,Cameron Batson,Texas Tech,,,,,8.85,8.9,,
15473,2018,WR,Cameron Chambers,Southern Utah,,,,,0.82,0.8,,
15474,2018,OC,Cameron Dillard,North Carolina,,,,,6.28,6.32,,
15475,2018,WR,Cameron Echols-Luper,Arkansas State,,,,,1.15,1.14,,
15476,2018,FS,Cameron Lewis,Louisiana State,,,,,,,,
15477,2018,CB,Cameron Roane,Columbia,,,,,7.93,7.98,,
15478,2018,OC,Cameron Ruff,South Florida,,,,,0.52,0.46,,
15479,2019,OG,B.J. Autry ,Jacksonville State,,,,UNOFFICIAL,,,,
15480,2018,DE,Cameron Stapleton,Connecticut,,,,,3.18,3.18,,
15481,2018,WR,Canard Brown,Wake Forest,,,,,1.48,1.46,,
15482,2018,CB,Carlton Davis,Auburn,2,63,Buccaneers,,6.34,6.38,,
15483,2018,RB,Carrington Mosely,Liberty,,,,,2.31,2.31,,
15484,2018,FS,Carter Henderson,Duquesne,,,,,,,,
15485,2018,SS,Carter Jacobs,Cincinnati,,,,,6.17,5.93,,
15486,2018,WR,Case Harrison,Central Florida,,,,,1.54,1.49,,
15487,2018,OG,Casey Dunn,Auburn,,,,,6.94,6.97,,
15488,2018,OT,Casey Tucker,Stanford,,,,,,,,
15489,2018,DE,Cavon Walker,Maryland,,,Bears,,3.21,3.22,,
15490,2018,WR,Caylon Weathers,Tennessee-Martin,,,,,6.25,6.29,,
15491,2018,LB,Cayson Collins,North Carolina,,,,,4.74,4.76,,
15492,2018,WR,Cedrick Wilson,Boise State,6,208,Cowboys,,6.83,6.88,,
15493,2018,FS,Chad Adams,Arizona State,,,,,0.15,0.16,,
15494,2018,WR,Chad Beebe,Northern Illinois,,,,,3.5,3.53,,
15495,2018,QB,Chad Kanoff,Princeton,,,Cardinals,,5.66,5.77,,
15496,2018,LB,Chad Meredith,Southeast Missouri,,,Lions,,9.27,9.32,,
15497,2018,DE,Chad Thomas,Miami,3,68,Browns,,4.54,4.56,,
15498,2018,FS,Chance Waz,Baylor,,,,,0.08,0.08,,
15499,2018,DE,Chandler Burkett,Maryland,,,,,3.04,3.03,,
15500,2018,CB,Chandon Sullivan,Georgia State,,,,Reported hamstring issue,5.99,6.02,,
15501,2018,LB,Charles Brosseau,Sherbrooke,,,,CFL Regional Combine,0.8,0.81,,
15502,2018,WR,Charles Nelson,Oregon,,,,,2.29,2.28,,
15503,2018,TE,Charles Standberry,Louisville,,,Browns,,4.5,4.53,,
15504,2018,WR,Charles Walker,Kentucky,,,,,4.35,4.37,,
15505,2018,TE,Charlie Callinan,Boston College,,,,,6.96,7.04,,
15506,2018,CB,Charvarius Ward,Middle Tennessee State,,,Cowboys,,5.47,5.49,,
15507,2018,QB,Chase Burton,Franklin College,,,,,0.04,0.04,,
15508,2018,SS,Chase Dutra,Indiana,,,,,2.52,2.06,,
15509,2018,RB,Chase Edmonds,Fordham,4,134,Cardinals,,7.94,7.95,,
15510,2018,QB,Chase Litton,Marshall,,,,,3.82,3.9,,
15511,2018,SS,Chauncey Scissum,UNLV,,,,,4.97,4.64,,
15512,2018,LB,Chequan Burkett,Central Florida,,,,,7.63,7.68,,
15513,2018,TE,Chett LeVay,Alabama State,,,,,,,,
15514,2018,DE,Chikwe Obasih,Wisconsin,,,,,,,,
15515,2018,LB,Chinedu Oparaku,Fairmont State,,,,UNOFFICIAL PD,8.98,9.02,,
15516,2018,OT,Chris Aye,McNeese State,,,,UNOFFICIAL PD,0.33,0.37,,
15517,2018,LB,Chris Board,North Dakota State,,,Ravens,Injured Hamstring on first 40.,7.03,7.02,,
15518,2018,OC,Chris Bonk,Lock Haven,,,,,,,,
15519,2018,DT,Chris Bradley,Texas Christian,,,,,1.05,1.08,,
15520,2018,LB,Chris Collins,Tennessee State,,,,,0.11,0.11,,
15521,2018,LB,Chris Covington,Indiana,6,193,Cowboys,,7.34,7.41,,
15522,2018,OG,Chris Durant,William & Mary,,,,,5.58,5.61,,
15523,2018,DT,Chris Ford,Buffalo,,,,,0.95,0.98,,
15524,2018,LB,Chris Frey,Michigan State,,,Panthers,,4.54,4.63,,
15525,2018,OG,Chris Gomez,Central Missouri,,,,,,,,
15526,2018,OG,Chris Gonzalez,San Jose State,,,,,1.65,1.71,,
15527,2018,FS,Chris Hawkins,Southern California,,,,,1.56,1.59,,
15528,2018,WR,Chris Hollis,Azusa Pacific,,,,,1.07,1.07,,
15529,2018,DT,Chris Johnson,Western Kentucky,,,,,4.25,4.31,,
15530,2018,CB,Chris Jones,Nebraska,,,Lions,,4.67,4.73,,
15531,2018,WR,Chris Jones,Coastal Carolina,,,,,1.16,1.16,,
15532,2018,DT,Chris Kantzavelos,Central Michigan,,,,,2,2.04,,
15533,2018,WR,Chris Lacy,Oklahoma State,,,,,5.06,5.1,,
15534,2018,CB,Chris Lammons,South Carolina,,,,,4.82,4.88,,
15535,2018,DT,Chris Lee,Norfolk State,,,,,3.74,3.73,,
15536,2018,CB,Chris Love,East Carolina,,,,,5.01,5.06,,
15537,2018,WR,Chris Murray,Arkansas State,,,,,3.92,3.93,,
15538,2018,DT,Chris Okoye,Ferris State,,,,,0.59,0.6,,
15539,2018,RB,Chris Reid,Mount Allison,,,,CFL Regional Combine,0,0,,
15540,2018,RB,Chris Robinson,Delta State,,,,,1.38,1.39,,
15541,2018,OG,Chris Schleuger,UAB,,,,,6.3,6.35,,
15542,2018,CB,Chris Seisay,Portland State,,,,,7.58,7.62,,
15543,2018,WR,Chris Spell,Buffalo,,,,,4.59,4.61,,
15544,2018,QB,Chris Streveler,South Dakota,,,,,7.07,7.09,,
15545,2018,WR,Chris Taylor,Arkansas State,,,,UNOFFICIAL PD,6.38,6.41,,
15546,2018,RB,Chris Warren III,Texas,,,,,7.44,7.49,,
15547,2018,LB,Chris Worley,Ohio State,,,Bengals,,1.69,1.65,,
15548,2018,WR,Christian Blake,Northern Illinois,,,,,4.57,4.59,,
15549,2018,WR,Christian Booker,Arkansas State,,,,,3.63,3.67,,
15550,2018,CB,Christian Campbell,Penn State,6,182,Cardinals,,9.44,9.48,,
15551,2018,OT,Christian Daimler,Texas A&M,,,,Review as he may be a duplicate since wrong school listed,3.95,4.04,,
15552,2018,OT,Christian DiLauro,Illinois,,,Browns,,8.75,8.74,,
15553,2018,WR,Christian Gibbs,Illinois State,,,,,,,,
15554,2018,DE,Christian Hill,Arizona State,,,,,6.27,6.32,,
15555,2018,DE,Christian Johnson,Memphis,,,,,5.09,5.11,,
