PLAYERID,40,20,10,BENCH,VERTICAL,BROAD,SHUTTLE,CONE,ARMLENGTH,HANDSIZE
479,,,,,,,,,,9.5
480,,,,,,,,,,
481,,,,,,,,,,9
482,,,,,,,,,,10.25
483,,,,,,,,,,8
484,,,,,,,,,,9.5
485,,,,,,,,,,9.25
486,,,,,,,,,,8.25
487,,,,,,,,,,8.75
488,,,,,,,,,,
489,,,,,,,,,,
490,,,,,,,,,,9.5
491,,,,,,,,,,9
492,,,,,,,,,,11
493,,,,,,,,,,10
494,,,,,,,,,,10.25
495,,,,,,,,,,
496,,,,,,,,,,10
497,,,,,,,,,,9.5
498,,,,,,,,,,8.75
499,,,,,,,,,,9
500,,,,,,,,,,
501,,,,,,,,,,
502,,,,,,,,,,9
503,,,,,,,,,,
504,,,,,,,,,,10
505,,,,,,,,,,
506,,,,,,,,,,
507,,,,,,,,,,
508,,,,,,,,,,
509,,,,,,,,,,9
510,,,,,,,,,,9
511,,,,,,,,,,9
512,,,,,,,,,,9.25
513,,,,,,,,,,
514,,,,,,,,,,9.75
515,,,,,,,,,,7.75
516,,,,,,,,,,
517,,,,,,,,,,9.5
518,,,,,,,,,,8.75
519,,,,,,,,,,
520,,,,,,,,,,8.75
521,,,,,,,,,,
522,,,,,,,,,,9.5
523,,,,,,,,,,9.5
524,,,,,,,,,,8.5
525,,,,,,,,,,
526,,,,,,,,,,
527,,,,,,,,,,10.5
528,,,,,,,,,,8
529,,,,,,,,,,9
530,,,,,,,,,,
531,,,,,,,,,,9.5
532,,,,,,,,,,9.5
533,,,,,,,,,,9.25
534,,,,,,,,,,10.5
535,,,,,,,,,,9.5
536,,,,,,,,,,
537,,,,,,,,,,10
538,,,,,,,,,,9
539,,,,,,,,,,10
540,,,,,,,,,,
541,,,,,,,,,,
542,,,,,,,,,,8
543,,,,,,,,,,9.75
544,,,,,,,,,,8.25
545,,,,,,,,,,8.5
546,,,,,,,,,,9.5
547,,,,,,,,,,10
548,,,,,,,,,,10.25
549,,,,,,,,,,
550,,,,,,,,,,9.5
551,,,,,,,,,,10.5
552,,,,,,,,,,9.75
553,,,,,,,,,,
554,,,,,,,,,,8.75
555,,,,,,,,,,
556,,,,,,,,,,9.75
557,,,,,,,,,,
558,,,,,,,,,,9
559,,,,,,,,,,9.5
560,,,,,,,,,,
561,,,,,,,,,,9.25
562,,,,,,,,,,8.5
563,,,,,,,,,,9.5
564,,,,,,,,,,10.75
565,,,,,,,,,,9
566,,,,,,,,,,
567,,,,,,,,,,9.25
568,,,,,,,,,,8.5
569,,,,,,,,,,9.25
570,,,,,,,,,,
571,,,,,,,,,,9
572,,,,,,,,,,
573,,,,,,,,,,8.5
574,,,,,,,,,,
575,,,,,,,,,,9
576,,,,,,,,,,
577,,,,,,,,,,7.75
578,,,,,,,,,,8
579,,,,,,,,,,9
580,,,,,,,,,,9.25
581,,,,,,,,,,
582,,,,,,,,,,7.5
583,,,,,,,,,,8.25
584,,,,,,,,,,9
585,,,,,,,,,,9.25
586,,,,,,,,,,
587,,,,,,,,,,9
588,,,,,,,,,,10
589,,,,,,,,,,8.75
590,,,,,,,,,,
591,,,,,,,,,,8.75
592,,,,,,,,,,8.75
593,,,,,,,,,,
594,,,,,,,,,,9.5
595,,,,,,,,,,
596,,,,,,,,,,
597,,,,,,,,,,9.5
