"Player","Team","Pos","doBest","doECR","doSD","doWorst","dpBest","dpECR","dpSD","dpWorst","roBest","roECR","rookBest","rookECR","rookSD","rookWorst","roSD","roWorst","rpBest","rpECR","rpSD","rpWorst","woBest","woECR","woSD","woWorst","wpBest","wpECR","wpSD","wpWorst","ScrapeDate"
"Eddy Pineiro","CHI","K",,,,,,,,,255,330.6,,,,,16.9,353,14,29.2,4.3,35,,,,,,,,,2019-08-18
"Cordarrelle Patterson","CHI","RB",,,,,,,,,,,,,,,,,,,,,,,,,49,63.3,11.4,77,2019-08-18
"Roquan Smith","CHI","LB",,,,,,,,,2,13.6,,,,,3.7,55,2,8.6,2.3,14,,,,,,,,,2019-08-18
"Adam Shaheen","CHI","TE",220,297,54,396,30,39,4,48,179,339.5,,,,,31.9,384,22,44.7,8.4,63,,,,,,,,,2019-08-18
"Leonard Floyd","CHI","LB",,,,,,,,,,,,,,,,,87,90.3,2.9,94,,,,,,,,,2019-08-18
"Kyle Fuller","CHI","DB",,,,,,,,,,,,,,,,,32,44.7,11.8,77,,,,,,,,,2019-08-18
"Taquan Mizzell","CHI","RB",,,,,,,,,393,403,,,,,10,413,123,136.5,11.3,152,,,,,,,,,2019-08-18
"Cordarrelle Patterson","CHI","WR",311,332.5,19.3,356,117,131.5,13,154,225,313,,,,,37.1,390,86,109.8,10.3,132,172,191.8,7.6,246,90,99.7,7.8,118,2019-08-18
"Eddie Jackson","CHI","DB",,,,,,,,,24,82,,,,,58,140,9,32.6,8.6,86,,,,,,,,,2019-08-18
"Prince Amukamara","CHI","DB",,,,,,,,,,,,,,,,,63,78,13.6,96,,,,,,,,,2019-08-18
"Taylor Gabriel","CHI","WR",189,223.7,12.4,242,70,93.5,12.8,126,105,208.9,,,,,36.6,340,52,75.7,10,109,95,134.8,3.6,147,51,71,1.3,78,2019-08-18
"Allen Robinson","CHI","WR",34,53.6,11.9,97,18,26.5,5.1,45,36,58.8,,,,,14.2,126,18,26.1,5.3,50,31,35.3,1.1,45,17,21.1,1.7,38,2019-08-18
"Marvin Hall","CHI","WR",,,,,,,,,,,,,,,,,159,173.5,10.5,184,,,,,,,,,2019-08-18
"Hasean Clinton-Dix","CHI","DB",,,,,,,,,38,51.7,,,,,7.4,59,6,15.2,4.8,26,,,,,,,,,2019-08-18
"Kerrith Whyte","CHI","RB",,,,,84,116.3,23.9,141,,,48,82,17,92,,,120,139.3,21.9,176,,,,,,,,,2019-08-18
"Mike Davis","CHI","RB",104,182.1,21.7,236,39,63.2,8.6,83,106,172.6,,,,,31.4,263,44,61.3,7.7,88,154,167.7,4.9,210,49,56.9,4.7,68,2019-08-18
"Eddie Goldman","CHI","DL",,,,,,,,,,,,,,,,,74,79.5,5.5,85,,,,,,,,,2019-08-18
"Andrew Billings","CIN","DL",,,,,,,,,,,,,,,,,107,113,6,119,,,,,,,,,2019-08-18
"Ryan Finley","CIN","QB",323,323,0,323,39,47.8,5,59,284,321,52,64.1,6,73,19.8,338,37,49.8,10.3,67,,,,,,,,,2019-08-18
"Preston Brown","CIN","LB",,,,,,,,,95,96.5,,,,,1.5,98,40,51.6,8.5,70,,,,,,,,,2019-08-18
"Darqueze Dennard","CIN","DB",,,,,,,,,,,,,,,,,74,109.7,35.4,158,,,,,,,,,2019-08-18
"Carlos Dunlap","CIN","DL",,,,,,,,,34,47.3,,,,,6.6,186,11,13.9,1.7,18,,,,,,,,,2019-08-18
"CJ Uzomah","CIN","TE",340,348,8,356,37,47.5,6.1,57,211,316.9,,,,,43.4,383,29,40.7,6.5,55,185,190.8,3.1,195,29,32.3,1.4,34,2019-08-18
"AJ Green","CIN","WR",23,43.4,14.2,93,11,21.2,6.5,46,41,69.6,,,,,19.4,137,13,28.8,8.1,57,,,,,,,,,2019-08-18
"Sam Hubbard","CIN","DL",,,,,,,,,73,149.5,,,,,76.5,226,24,37.3,10.7,54,,,,,,,,,2019-08-18
"Josh Malone","CIN","WR",,,,,149,163.3,13.7,183,267,304,,,,,37,341,96,157.2,25,208,,,,,,,,,2019-08-18
"Stanley Morgan","CIN","WR",,,,,137,148,12.8,166,,,33,59.4,16.3,83,,,141,174,33.1,228,,,,,,,,,2019-08-18
"Alex Erickson","CIN","WR",,,,,,,,,273,345.1,,,,,27.7,383,98,133.2,13.8,160,,,,,,,,,2019-08-18
"John Ross","CIN","WR",136,180.7,19.7,222,61,78.4,9,92,147,231.9,,,,,42.1,363,59,83.4,12.5,118,107,131,7.6,168,57,71.1,6.6,87,2019-08-18
"Jeff Driskel","CIN","QB",,,,,46,61,10.6,71,,,,,,,,,44,57.8,5.9,66,,,,,,,,,2019-08-18
"Cody Core","CIN","WR",,,,,,,,,391,394.5,,,,,2.1,396,127,148.9,18.8,188,,,,,,,,,2019-08-18
"Trayveon Williams","CIN","RB",191,232,22.3,264,66,75.6,5.5,90,229,293.3,24,37.9,3.5,50,38.5,378,75,93.6,9.5,116,,,,,69,82.8,8.1,89,2019-08-18
"Drew Sample","CIN","TE",,,,,43,52.4,7.7,71,,,64,78.4,9.2,89,,,34,76.2,12.4,97,,,,,,,,,2019-08-18
"Tyler Eifert","CIN","TE",178,240.7,44.3,352,25,31.4,3.4,38,116,247.7,,,,,54.7,348,11,25.6,4.5,34,113,136.2,3.5,169,7,22.4,3,27,2019-08-18
"Tyler Boyd","CIN","WR",36,56.8,10.3,79,20,28.3,3.6,48,31,53,,,,,10.7,87,15,23.8,4.2,38,33,47.2,5.1,54,19,27.3,2.9,32,2019-08-18
"Carl Lawson","CIN","DL",,,,,,,,,,,,,,,,,56,106.7,36.3,139,,,,,,,,,2019-08-18
"Shawn Williams","CIN","DB",,,,,,,,,28,42,,,,,4.6,50,5,12.7,9.2,53,,,,,,,,,2019-08-18
"Rodney Anderson","CIN","RB",167,260.3,49.5,340,58,76.3,9.9,98,209,303.8,23,40.1,8.9,59,38.2,365,69,100.5,14.5,150,,,,,,,,,2019-08-18
"Jordan Evans","CIN","LB",,,,,,,,,,,,,,,,,57,85.5,22.7,118,,,,,,,,,2019-08-18
"Nick Vigil","CIN","LB",,,,,,,,,41,67.2,,,,,13.3,76,27,41.9,11.6,64,,,,,,,,,2019-08-18
"Geno Atkins","CIN","DL",,,,,,,,,,,,,,,,,29,35.9,3,64,,,,,,,,,2019-08-18
"Jessie Bates","CIN","DB",,,,,,,,,46,60.8,,,,,9.7,69,9,19.2,6.6,54,,,,,,,,,2019-08-18
"Joe Mixon","CIN","RB",10,12.7,3,24,5,6.4,1.5,12,6,17.7,,,,,4.6,33,5,9.3,2.1,15,12,24.5,2.1,60,8,10.9,0.6,21,2019-08-18
"Germaine Pratt","CIN","LB",,,,,,,,,,,,,,,,,34,92,64.5,182,,,,,,,,,2019-08-18
"Andy Dalton","CIN","QB",164,209.9,30,267,26,28.8,1.4,33,131,198.9,,,,,21.6,299,19,26,1.7,29,,,,,26,29.1,0.8,31,2019-08-18
"Cincinnati","CIN","DST",318,344,26,370,18,20.4,1.9,29,149,332.9,,,,,16.6,355,25,30.1,1.4,32,,,,,28,29.5,1.5,31,2019-08-18
"Kerry Wynn","CIN","DL",,,,,,,,,,,,,,,,,122,124.5,2.5,127,,,,,,,,,2019-08-18
"Giovani Bernard","CIN","RB",138,201.3,42.5,321,42,59.9,7.7,78,106,168.1,,,,,33.3,320,44,59,8.2,102,165,197,7.8,207,42,62.3,3.4,66,2019-08-18
"Randy Bullock","CIN","K",,,,,29,29.5,0.5,30,290,342,,,,,13.6,353,23,28.4,2.4,35,,,,,27,28,0.7,29,2019-08-18
"Auden Tate","CIN","WR",,,,,131,145.6,8.9,157,,,,,,,,,112,161.4,21.1,194,,,,,,,,,2019-08-18
"Dre Kirkpatrick","CIN","DB",,,,,,,,,,,,,,,,,103,106.5,3.5,110,,,,,,,,,2019-08-18
"Drew Stanton","CLE","QB",,,,,,,,,,,,,,,,,40,56.2,5.1,64,,,,,,,,,2019-08-18
"Terrance Mitchell","CLE","DB",,,,,,,,,,,,,,,,,55,74,25.1,117,,,,,,,,,2019-08-18
"Greedy Williams","CLE","DB",,,,,,,,,,,,,,,,,100,167,67,234,,,,,,,,,2019-08-18
"Baker Mayfield","CLE","QB",31,50.1,5.8,63,2,3.2,0.9,6,47,81,,,,,26.6,281,2,5.7,2,18,,,,,1,7.3,2.2,16,2019-08-18
"Jaelen Strong","CLE","WR",,,,,,,,,,,,,,,,,161,169.5,8.5,178,,,,,,,,,2019-08-18
"Genard Avery","CLE","LB",,,,,,,,,,,,,,,,,67,105.3,45.3,169,,,,,,,,,2019-08-18
"Cleveland","CLE","DST",164,214.7,58.7,297,7,12.6,1.5,14,137,180.6,,,,,17.4,286,4,8.8,2.8,19,,,,,3,4.7,1.2,6,2019-08-18
"Rashard Higgins","CLE","WR",139,233.9,50.3,300,68,99,13.8,117,110,248.1,,,,,47.6,326,47,88.5,16.1,133,148,181.5,2.8,203,78,95.1,2.8,101,2019-08-18
"Damarious Randall","CLE","DB",,,,,,,,,59,70.5,,,,,11.5,86,11,26.8,8.8,53,,,,,,,,,2019-08-18
"Chris Smith","CLE","DL",,,,,,,,,,,,,,,,,117,142,25,167,,,,,,,,,2019-08-18
"Seth DeValve","CLE","TE",,,,,66,73.3,5.4,79,,,,,,,,,61,80.1,11.5,105,,,,,,,,,2019-08-18
"Antonio Callaway","CLE","WR",138,167.5,18.3,216,54,69.9,7.2,94,128,237.7,,,,,48.5,384,51,84.9,13.3,124,,,,,,,,,2019-08-18
"Rico Gathers","CLE","TE",,,,,44,62.3,13.3,75,,,,,,,,,73,85.4,11.8,104,,,,,,,,,2019-08-18
"Jermaine Whitehead","CLE","DB",,,,,,,,,,,,,,,,,52,134,82,216,,,,,,,,,2019-08-18
"Kareem Hunt","CLE","RB",43,82.6,16.5,205,16,31.7,5,65,75,160.8,,,,,34,242,35,57.5,8.4,80,122,147.5,25.5,173,41,61,14,76,2019-08-18
"Olivier Vernon","CLE","DL",,,,,,,,,21,99.2,,,,,92.5,303,12,21.4,5.5,55,,,,,,,,,2019-08-18
"Austin Seibert","CLE","K",,,,,,,,,254,302.5,,,,,48.5,351,15,30.7,5.3,37,,,,,,,,,2019-08-18
"Demetrius Harris","CLE","TE",,,,,40,56.6,7.1,62,279,349.2,,,,,39.6,391,42,54,7.2,68,,,,,,,,,2019-08-18
"Jarvis Landry","CLE","WR",39,61,10.1,106,21,28.8,3.9,49,39,62.4,,,,,14.4,130,19,27.9,5.4,52,40,44.3,2.8,65,23,26.7,3.7,37,2019-08-18
"Joe Schobert","CLE","LB",,,,,,,,,19,36.8,,,,,17.8,67,11,20.2,7.5,31,,,,,,,,,2019-08-18
"Nick Chubb","CLE","RB",8,14.1,3.4,25,4,6.8,1.5,11,2,17.1,,,,,5.9,33,2,9,2.5,15,12,34.5,5.9,50,8,13.9,1.9,18,2019-08-18
"Mack Wilson","CLE","LB",,,,,,,,,,,,,,,,,119,138.5,19.5,158,,,,,,,,,2019-08-18
"Dontrell Hilliard","CLE","RB",187,265.3,57.3,323,76,87.5,11.5,99,103,238.1,,,,,68,386,43,78.7,17.5,114,,,,,,,,,2019-08-18
"Myles Garrett","CLE","DL",,,,,,,,,2,12.8,,,,,6.5,268,2,4.2,1.2,42,,,,,,,,,2019-08-18
"Christian Kirksey","CLE","LB",,,,,,,,,17,35.4,,,,,25.2,102,9,17.6,4.6,44,,,,,,,,,2019-08-18
"Derrick Willies","CLE","WR",,,,,,,,,,,,,,,,,149,165.8,14.3,188,,,,,,,,,2019-08-18
"Larry Ogunjobi","CLE","DL",,,,,,,,,,,,,,,,,42,58,7.7,68,,,,,,,,,2019-08-18
"Morgan Burnett","CLE","DB",,,,,,,,,53,148.5,,,,,95.5,244,10,34.3,11.7,134,,,,,,,,,2019-08-18
"Damion Ratley","CLE","WR",,,,,,,,,,,,,,,,,142,166.9,16.4,192,,,,,,,,,2019-08-18
"Denzel Ward","CLE","DB",,,,,,,,,,,,,,,,,27,56.8,19.4,99,,,,,,,,,2019-08-18
"Odell Beckham","CLE","WR",2,5.2,2.6,11,1,3,1.4,7,4,11.9,,,,,3.6,28,1,5.2,1.8,13,4,6.3,0.5,7,1,2.4,0.5,3,2019-08-18
"Sheldon Richardson","CLE","DL",,,,,,,,,,,,,,,,,47,56.5,9.5,72,,,,,,,,,2019-08-18
"DErnest Johnson","CLE","RB",,,,,,,,,,,,,,,,,112,119,7,126,,,,,,,,,2019-08-18
"Travis Carrie","CLE","DB",,,,,,,,,,,,,,,,,95,109,14,123,,,,,,,,,2019-08-18
"David Njoku","CLE","TE",55,75.7,9.1,116,5,7.3,0.8,10,48,100.4,,,,,26.1,235,4,10,2.9,21,62,75.7,4,101,7,9.6,1.6,15,2019-08-18
"Greg Joseph","CLE","K",,,,,22,22,0,22,180,299,,,,,29.4,342,13,22.8,4.4,33,,,,,4,15.3,6.9,21,2019-08-18
"Tony Pollard","DAL","RB",112,193.2,46.6,301,40,65.4,11,84,77,180.3,16,33.2,7.8,45,52.9,336,36,61.8,13.3,109,,,,,36,66.8,15.8,78,2019-08-18
"Taco Charlton","DAL","DL",,,,,,,,,,,,,,,,,94,99,5,104,,,,,,,,,2019-08-18
"Antwaun Woods","DAL","DL",,,,,,,,,,,,,,,,,123,126.5,3.5,130,,,,,,,,,2019-08-18
"Dalton Schultz","DAL","TE",,,,,41,48.8,4.5,52,,,,,,,,,67,73.8,2.5,77,,,,,,,,,2019-08-18
"Blake Jarwin","DAL","TE",239,303,50.8,389,21,42.7,8.1,67,207,311.1,,,,,47.6,381,26,41.9,8.6,60,196,197.3,0.9,198,28,33,2.9,35,2019-08-18
"Jaylon Smith","DAL","LB",,,,,,,,,17,29.9,,,,,19.4,81,10,16,5.3,41,,,,,,,,,2019-08-18
"Jeff Heath","DAL","DB",,,,,,,,,,,,,,,,,69,75.5,6.5,82,,,,,,,,,2019-08-18
"Jason Witten","DAL","TE",,,,,38,47,6.8,61,136,275.5,,,,,51.7,360,17,30.2,8.1,87,187,193,6,199,23,30,5.7,37,2019-08-18
"Cedrick Wilson","DAL","WR",,,,,,,,,,,,,,,,,148,180,27.4,215,,,,,,,,,2019-08-18
"Byron Jones","DAL","DB",,,,,,,,,,,,,,,,,48,61,12,77,,,,,,,,,2019-08-18
"Michael Gallup","DAL","WR",84,99.4,9.3,134,36,48.9,5.8,61,81,131.4,,,,,25.3,238,36,53.9,8,81,89,91,3.2,125,47,50,4,66,2019-08-18
"Tavon Austin","DAL","RB",,,,,,,,,,,,,,,,,77,109.5,22.5,146,,,,,,,,,2019-08-18
"Dallas","DAL","DST",194,237,54.6,314,8,19,2.6,23,159,202.5,,,,,26.7,312,5,12.3,3.5,23,,,,,2,4.3,1.7,6,2019-08-18
"Brett Maher","DAL","K",258,265.5,7.5,273,9,9.5,0.5,10,187,207.5,,,,,25.5,273,7,10.5,2.3,16,,,,,6,8.5,1.8,11,2019-08-18
"Jamize Olawale","DAL","RB",,,,,,,,,,,,,,,,,124,126,2,128,,,,,,,,,2019-08-18
"Amari Cooper","DAL","WR",10,19.8,4.1,35,6,9.5,2.1,22,15,29.4,,,,,6,56,6,13.3,2.8,25,18,19.8,1.6,32,8,10.9,3.1,20,2019-08-18
"Mike Weber","DAL","RB",215,306,21.7,329,64,92,6.9,101,225,294.2,25,48.3,8.6,59,35.4,362,68,94.5,11.7,120,,,,,61,76,3.1,81,2019-08-18
"Noah Brown","DAL","WR",,,,,,,,,323,351,,,,,28,379,122,157.5,14.4,176,,,,,,,,,2019-08-18
"Ezekiel Elliott","DAL","RB",1,5.6,2.8,12,1,3.5,1.1,7,1,6.6,,,,,5.2,50,1,4.6,2.2,23,1,2,1.4,44,1,1.9,1,17,2019-08-18
"Demarcus Lawrence","DAL","DL",,,,,,,,,19,31.6,,,,,7.4,144,5,8.8,1.3,12,,,,,,,,,2019-08-18
"Darius Jackson","DAL","RB",,,,,,,,,232,323.1,,,,,44.2,378,77,111.4,16.2,139,,,,,,,,,2019-08-18
"Kerry Hyder","DAL","DL",,,,,,,,,,,,,,,,,54,132,97.2,269,,,,,,,,,2019-08-18
"Tavon Austin","DAL","WR",,,,,150,163.5,13.5,177,232,332.4,,,,,38.3,386,103,142.6,18.5,175,,,,,,,,,2019-08-18
"Dak Prescott","DAL","QB",89,111.4,14.8,150,6,11.7,1.9,19,77,128,,,,,26.4,284,8,15.4,3,21,,,,,4,11,4.2,20,2019-08-18
"Cooper Rush","DAL","QB",,,,,,,,,,,,,,,,,41,58.9,4.6,65,,,,,,,,,2019-08-18
"Alfred Morris","DAL","RB",,,,,69,102.8,23.6,140,153,284.5,,,,,56.4,387,57,95,21.3,155,,,,,60,63.5,3.5,67,2019-08-18
"Leighton Vander Esch","DAL","LB",,,,,,,,,2,15.5,,,,,24,78,1,6.8,5.2,39,,,,,,,,,2019-08-18
"Chidobe Awuzie","DAL","DB",,,,,,,,,,,,,,,,,47,54,7,61,,,,,,,,,2019-08-18
"Sean Lee","DAL","LB",,,,,,,,,54,143,,,,,89,232,24,66,24.4,84,,,,,,,,,2019-08-18
"Randall Cobb","DAL","WR",180,227.2,37.5,305,73,91.6,12.9,123,101,211.6,,,,,40.3,340,44,76.3,12.1,122,112,138.3,10.3,217,49,70.1,6.3,110,2019-08-18
"Robert Quinn","DAL","DL",,,,,,,,,50,174.3,,,,,170.2,415,22,52.6,21.1,100,,,,,,,,,2019-08-18
"Chris Jones","DAL","DL",,,,,,,,,,,,,,,,,10,14,4,18,,,,,,,,,2019-08-18
"Derek Wolfe","DEN","DL",,,,,,,,,,,,,,,,,52,60,7,69,,,,,,,,,2019-08-18
"Justin Simmons","DEN","DB",,,,,,,,,30,59.7,,,,,21.3,79,9,22.9,3.2,58,,,,,,,,,2019-08-18
"Theo Riddick","DEN","RB",211,282.9,42,372,69,84.3,10.2,111,106,222.6,,,,,37.2,331,44,74.8,11.8,112,,,,,,,,,2019-08-18
"River Cracraft","DEN","WR",,,,,,,,,,,,,,,,,173,179.8,4.7,185,,,,,,,,,2019-08-18
"Devontae Booker","DEN","RB",251,312.4,46.6,377,72,93.4,11.7,122,161,261.4,,,,,35.3,378,60,83.3,9.3,119,193,203.8,6.3,210,63,71.8,4.1,80,2019-08-18
"Brett Rypien","DEN","QB",,,,,,,,,,,85,89.5,4.4,96,,,,,,,,,,,,,,,2019-08-18
"Royce Freeman","DEN","RB",67,91.1,10,116,26,33.9,3.3,39,61,90.9,,,,,15.2,134,25,37.1,3.6,51,87,104.8,8.3,150,30,37.4,4.1,55,2019-08-18
"Phillip Lindsay","DEN","RB",44,63,7,88,19,24.1,2.2,32,35,58.4,,,,,10.6,105,16,25.3,3.7,38,22,53.8,15.3,133,8,17.4,5,41,2019-08-18
"DaeSean Hamilton","DEN","WR",118,143,11.1,174,48,58.3,5.5,88,67,133.2,,,,,22.6,205,31,53.7,7.6,72,76,94.3,1.8,123,42,51.3,2.2,64,2019-08-18
"Jake Butt","DEN","TE",225,307.8,57.1,395,35,47.3,9.3,66,244,327.6,,,,,35.5,391,25,39.9,8.1,71,186,194.4,5.1,199,30,33.8,2.1,36,2019-08-18
"Troy Fumagalli","DEN","TE",,,,,48,65.3,8.3,81,,,,,,,,,54,79.2,11.8,90,,,,,,,,,2019-08-18
"Emmanuel Sanders","DEN","WR",114,167,35,271,37,63.2,11,98,54,119.4,,,,,20.8,195,25,48.5,7.3,68,54,125.7,6.9,138,32,61.3,11.8,72,2019-08-18
"Shelby Harris","DEN","DL",,,,,,,,,,,,,,,,,10,42.5,32.5,75,,,,,,,,,2019-08-18
"Juwann Winfree","DEN","WR",,,,,,,,,,,,,,,,,133,159.3,20.5,201,,,,,,,,,2019-08-18
"Jeff Heuerman","DEN","TE",,,,,51,61.8,6,75,291,344,,,,,31.3,381,26,52.9,4.6,64,,,,,,,,,2019-08-18
"Tim Patrick","DEN","WR",295,334.3,27.8,354,92,139.2,12.6,158,202,324.5,,,,,50.1,388,70,116.8,14.3,154,,,,,,,,,2019-08-18
"Todd Davis","DEN","LB",,,,,,,,,21,60.3,,,,,29.8,93,16,37.6,5.2,45,,,,,,,,,2019-08-18
"Courtland Sutton","DEN","WR",43,68.8,10.7,111,21,32.8,4.9,48,62,102.7,,,,,15.5,160,28,43.2,5.9,62,63,68.7,6,87,35,39.1,2.6,46,2019-08-18
"Von Miller","DEN","LB",,,,,,,,,31,81.8,,,,,42.2,188,12,35,11.1,68,,,,,,,,,2019-08-18
"Kareem Jackson","DEN","DB",,,,,,,,,,,,,,,,,7,46.5,16.3,74,,,,,,,,,2019-08-18
"Adam Gotsis","DEN","DL",,,,,,,,,,,,,,,,,22,59.3,27.9,89,,,,,,,,,2019-08-18
"Drew Lock","DEN","QB",187,237.4,31.3,293,23,32.2,2.4,37,164,302.3,23,38.8,7.8,51,39.7,417,33,37.9,4.7,63,,,,,32,35.7,2.9,39,2019-08-18
"Bradley Chubb","DEN","LB",,,,,,,,,55,85,,,,,24.2,121,25,39.7,6.7,48,,,,,,,,,2019-08-18
"Joe Flacco","DEN","QB",213,277.4,13.3,296,30,34,2.5,40,159,235.4,,,,,24.8,307,22,29.8,1.6,37,,,,,26,29.1,1.1,31,2019-08-18
"Andy Janovich","DEN","RB",,,,,,,,,310,368.8,,,,,31.6,399,100,114.8,8.7,122,,,,,,,,,2019-08-18
"Denver","DEN","DST",159,256,25.6,285,2,4.8,1.9,13,139,189,,,,,17.1,249,5,11.2,2.5,18,,,,,13,15,1.6,17,2019-08-18
"Noah Fant","DEN","TE",81,107.6,15.7,179,8,10.1,1.9,18,69,217.7,7,13.4,3.9,22,54.7,332,6,22,4.7,37,133,142.7,13.7,187,22,24.4,1.8,31,2019-08-18
"Brandon McManus","DEN","K",245,312,67,379,9,13.2,2.9,21,187,301.3,,,,,21,343,17,20.6,2.2,29,,,,,16,17.3,1.1,19,2019-08-18
"Josey Jewell","DEN","LB",,,,,,,,,,,,,,,,,33,66.3,20.8,102,,,,,,,,,2019-08-18
"Trey Flowers","DET","DL",,,,,,,,,24,43.3,,,,,10.8,233,8,15,5.5,32,,,,,,,,,2019-08-18
"DaShawn Hand","DET","DL",,,,,,,,,,,,,,,,,64,95.8,32.9,146,,,,,,,,,2019-08-18
"Danny Amendola","DET","WR",236,277.8,11.9,295,93,115.5,11.3,137,151,249.4,,,,,44.1,395,62,89.2,12.4,126,135,162.3,11.2,194,71,82.6,6,99,2019-08-18
"Jahlani Tavai","DET","LB",,,,,,,,,,,,,,,,,55,82.5,40.5,152,,,,,,,,,2019-08-18
"Matthew Stafford","DET","QB",121,152.1,21.4,192,14,20.4,1.4,22,111,183.6,,,,,26.3,297,12,24.2,2,28,,,,,12,24,2.1,26,2019-08-18
"Christian Jones","DET","LB",,,,,,,,,,,,,,,,,57,71.5,14.5,86,,,,,,,,,2019-08-18
"Kerryon Johnson","DET","RB",21,31.6,7.1,46,9,13.2,2,21,4,28.8,,,,,8.8,61,4,13.5,3.1,25,29,43.3,7,73,9,15.1,2,24,2019-08-18
"Ty Johnson","DET","RB",256,320.5,47.4,384,77,94.6,9.3,105,161,282.9,31,58.8,10.7,76,68.4,380,60,91.8,20.3,118,,,,,,,,,2019-08-18
"Zach Zenner","DET","RB",,,,,107,122.5,9.9,132,164,308.6,,,,,37.2,387,62,97,10.2,120,,,,,,,,,2019-08-18
"CJ Anderson","DET","RB",166,205.8,17.1,240,50,68.4,6.9,87,114,168.8,,,,,31.7,252,46,59.3,7.7,83,154,162.5,8.9,183,49,52.7,2.9,61,2019-08-18
"Tavon Wilson","DET","DB",,,,,,,,,,,,,,,,,41,58.5,13.2,78,,,,,,,,,2019-08-18
"Matt Prater","DET","K",213,259.3,37.2,304,6,7.4,1.5,11,186,215.3,,,,,35.3,342,5,12.4,4.1,24,,,,,4,9,3.6,14,2019-08-18
"Darius Slay","DET","DB",,,,,,,,,,,,,,,,,65,73.7,7.8,84,,,,,,,,,2019-08-18
"Detroit","DET","DST",286,324,38,362,21,22.8,1.3,26,173,304,,,,,27.1,344,7,24.3,2.8,30,,,,,12,13.3,1.2,15,2019-08-18
"TJ Hockenson","DET","TE",66,91.9,11.2,184,4,8.5,1.5,15,55,198.7,6,9.8,3.1,19,62.8,354,6,20.2,5.6,37,126,130,2.6,189,10,20.6,1.3,32,2019-08-18
"AShawn Robinson","DET","DL",,,,,,,,,,,,,,,,,23,41.5,18.5,60,,,,,,,,,2019-08-18
"Mike Daniels","DET","DL",,,,,,,,,,,,,,,,,32,72,38.8,164,,,,,,,,,2019-08-18
"Kenny Golladay","DET","WR",19,32.3,6.3,43,9,15.8,3,24,27,42.6,,,,,9,109,12,19.5,3.5,44,30,31.7,0.9,36,12,17.4,1,21,2019-08-18
"Tommylee Lewis","DET","WR",,,,,,,,,,,,,,,,,128,169.6,21.2,193,,,,,,,,,2019-08-18
"Jermaine Kearse","DET","WR",282,285.5,3.5,289,105,145.3,21.9,184,,,,,,,,,,,,,,,,,,,,,2019-08-18
"Brandon Powell","DET","WR",,,,,,,,,267,334.3,,,,,48.2,377,110,148.2,17,182,,,,,,,,,2019-08-18
"Jarrad Davis","DET","LB",,,,,,,,,23,50.1,,,,,9.6,67,14,26.6,4.7,45,,,,,,,,,2019-08-18
"Logan Thomas","DET","TE",,,,,,,,,,,,,,,,,84,93,9.4,106,,,,,,,,,2019-08-18
"Jesse James","DET","TE",299,337.3,44,399,36,46.5,4.2,53,218,331.6,,,,,39.3,394,27,44.3,5.7,54,,,,,,,,,2019-08-18
"Quandre Diggs","DET","DB",,,,,,,,,,,,,,,,,21,39.8,17.8,70,,,,,,,,,2019-08-18
"Romeo Okwara","DET","DL",,,,,,,,,,,,,,,,,37,50.8,10.5,61,,,,,,,,,2019-08-18
"Devon Kennard","DET","LB",,,,,,,,,,,,,,,,,76,84,5.7,89,,,,,,,,,2019-08-18
"Andy Jones","DET","WR",,,,,,,,,,,,,,,,,117,169,5.4,179,,,,,,,,,2019-08-18
"Isaac Nauta","DET","TE",,,,,76,81,5,86,,,77,87,8.2,97,,,71,101.3,23.3,135,,,,,,,,,2019-08-18
"Damon Harrison","DET","DL",,,,,,,,,53,128.2,,,,,140.1,441,18,26,9.5,111,,,,,,,,,2019-08-18
"Rashaan Melvin","DET","DB",,,,,,,,,,,,,,,,,110,113,3,116,,,,,,,,,2019-08-18
"Travis Fulgham","DET","WR",,,,,,,,,,,,,,,,,146,170.6,11.2,180,,,,,,,,,2019-08-18
"Tom Savage","DET","QB",,,,,,,,,,,,,,,,,43,58.6,4.2,66,,,,,,,,,2019-08-18
"Marvin Jones","DET","WR",80,101.3,12,168,34,44.2,4.3,68,55,87.7,,,,,12.3,203,26,37.2,4.4,72,41,55.8,5.5,65,24,32.6,3.1,43,2019-08-18
"Dez Bryant",,"WR",264,280.5,16.5,297,102,134.6,30.5,191,290,319.2,,,,,13.8,334,100,136.2,35.3,190,,,,,,,,,2019-08-18
"Rishard Matthews",,"WR",283,293.5,10.5,304,113,143.5,18.1,162,,,,,,,,,,,,,,,,,,,,,2019-08-18
"Chandler Catanzaro",,"K",227,304,77,381,13,15.8,2.3,27,272,315.9,,,,,17.8,342,18,26.3,3.8,32,,,,,19,21.7,3.1,26,2019-08-18
"Chris Warren",,"RB",,,,,78,95,17,112,,,,,,,,,104,123.3,16,140,,,,,,,,,2019-08-18
"Matt Bryant",,"K",,,,,10,14.4,3.1,19,186,271.2,,,,,52,338,7,20.3,10.3,35,,,,,,,,,2019-08-18
"Eric Berry",,"DB",,,,,,,,,,,,,,,,,17,36,19,55,,,,,,,,,2019-08-18
"Marcus Williams",,"DB",,,,,,,,,,,,,,,,,84,247.5,163.5,411,,,,,,,,,2019-08-18
"Neal Sterling",,"TE",,,,,,,,,,,,,,,,,81,84.5,3.9,91,,,,,,,,,2019-08-18
