Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
128,,Devin FunchessD. Funchess IND,WR53,6,48,234,135.6,29.2,153.0,+25.0
129,,Delanie WalkerD. Walker TEN,TE12,11,55,348,135.9,39.9,129.0,0.0
130,,Jamison CrowderJ. Crowder NYJ,WR54,4,87,234,133.6,25.0,159.0,+29.0
131,,Jaylen SamuelsJ. Samuels PIT,RB48,7,65,318,135.4,37.1,113.0,-18.0
132,,John BrownJ. Brown BUF,WR55,6,58,229,137.8,26.3,165.0,+33.0
133,,Mitch TrubiskyM. Trubisky CHI,QB18,6,84,293,144.0,20.0,148.0,+15.0
134,,Trey BurtonT. Burton CHI,TE13,6,78,235,144.1,35.3,141.0,+7.0
135,,Kirk CousinsK. Cousins MIN,QB19,12,70,292,144.3,26.2,152.0,+17.0
136,,DaeSean HamiltonD. Hamilton DEN,WR56,10,67,261,136.7,26.0,215.0,+79.0
137,,Carlos HydeC. Hyde KC,RB49,12,70,234,143.0,34.2,124.0,-13.0
138,,Jordan ReedJ. Reed WAS,TE14,10,55,269,149.4,37.9,139.0,+1.0
139,,Devin SingletaryD. Singletary BUF,RB50,6,35,278,144.2,41.1,136.0,-3.0
140,,Tom BradyT. Brady NE,QB20,10,91,290,150.2,14.5,125.0,-15.0
141,,Kenny StillsK. Stills MIA,WR57,5,66,229,144.9,26.6,195.0,+54.0
142,,Josh AllenJ. Allen BUF,QB21,6,88,291,150.6,26.4,176.0,+34.0
143,,Chris ThompsonC. Thompson WAS,RB51,10,83,326,140.6,34.2,197.0,+54.0
144,,Ito SmithI. Smith ATL,RB52,9,75,243,145.5,31.7,154.0,+10.0
145,,James WashingtonJ. Washington PIT,WR58,7,81,268,152.1,40.9,117.0,-28.0
146,,N'Keal HarryN. Harry NE,WR59,10,32,313,157.3,48.3,112.0,-34.0
147,,Jimmy GaroppoloJ. Garoppolo SF,QB22,4,103,296,158.9,25.4,166.0,+19.0
148,,Damien HarrisD. Harris NE,RB53,10,73,277,154.5,45.7,145.0,-3.0
149,,Justin JacksonJ. Jackson LAC,RB54,12,78,263,161.6,42.2,164.0,+15.0
150,,Kareem HuntK. Hunt CLE,RB55,7,75,244,159.5,34.0,103.0,-47.0
151,,Mark AndrewsM. Andrews BAL,TE15,8,82,305,163.5,52.5,160.0,+9.0
152,,Jack DoyleJ. Doyle IND,TE16,6,92,297,159.5,43.4,184.0,+32.0
153,,Justice HillJ. Hill BAL,RB56,8,77,275,159.9,38.1,170.0,+17.0
154,,D.K. MetcalfD. Metcalf SEA,WR60,11,81,308,168.9,42.0,111.0,-43.0
155,,Mohamed SanuM. Sanu ATL,WR61,9,89,267,166.8,37.2,185.0,+30.0
156,,Kyle RudolphK. Rudolph MIN,TE17,12,104,256,169.5,37.2,150.0,-6.0
157,,Adam HumphriesA. Humphries TEN,WR62,11,82,265,166.5,37.2,181.0,+24.0
158,,C.J. AndersonC. Anderson DET,RB57,5,111,268,167.8,32.2,193.0,+35.0
159,,Giovani BernardG. Bernard CIN,RB58,9,111,320,166.0,32.3,214.0,+55.0
Tier 10,
160,,Jamaal WilliamsJ. Williams GB,RB59,11,102,250,161.3,32.2,232.0,+72.0
161,,Sam DarnoldS. Darnold NYJ,QB23,4,113,295,175.0,24.0,194.0,+33.0
162,,Mike DavisM. Davis CHI,RB60,6,106,263,171.3,31.5,233.0,+71.0
163,,Matthew StaffordM. Stafford DET,QB24,5,111,297,184.6,25.9,192.0,+29.0
164,,Tre'Quan SmithT. Smith NO,WR63,9,87,277,180.1,35.5,189.0,+25.0
165,,Albert WilsonA. Wilson MIA,WR64,5,115,268,179.8,37.6,217.0,+52.0
166,,Jalen RichardJ. Richard OAK,RB61,6,102,246,174.6,32.8,201.0,+35.0
167,,Parris CampbellP. Campbell IND,WR65,6,73,305,180.0,40.9,178.0,+11.0
168,,Jimmy GrahamJ. Graham GB,TE18,11,82,305,191.3,46.3,156.0,-12.0
169,,Quincy EnunwaQ. Enunwa NYJ,WR66,4,110,300,183.1,37.8,281.0,+112.0
170,,Devante ParkerD. Parker MIA,WR67,5,88,271,177.7,35.7,205.0,+35.0
171,,Derek CarrD. Carr OAK,QB25,6,113,298,190.8,25.0,174.0,+3.0
172,,Chicago (CHI)CHI DST,DST1,6,129,237,164.8,13.7,88.0,-84.0
173,,Deebo SamuelD. Samuel SF,WR68,4,109,316,181.8,46.2,188.0,+15.0
174,,Greg OlsenG. Olsen CAR,TE19,7,74,394,191.8,51.2,140.0,-34.0
175,,Alexander MattisonA. Mattison MIN,RB62,12,78,296,179.8,42.0,168.0,-7.0
176,,Jacksonville (JAC)JAC DST,DST2,10,127,246,168.5,11.8,137.0,-39.0
177,,Jerick McKinnonJ. McKinnon SF,RB63,4,71,363,177.2,59.2,162.0,-15.0
178,,Minnesota (MIN)MIN DST,DST3,12,131,244,172.7,10.4,146.0,-32.0
179,,Marquise GoodwinM. Goodwin SF,WR69,4,121,368,184.3,46.0,199.0,+20.0
180,,Los Angeles (LAR)LAR DST,DST4,9,145,239,170.9,11.0,109.0,-71.0
181,,Baltimore (BAL)BAL DST,DST5,8,144,242,175.8,18.6,155.0,-26.0
182,,Chase EdmondsC. Edmonds ARI,RB64,12,114,273,191.8,34.6,254.0,+72.0
183,,Andy DaltonA. Dalton CIN,QB26,9,131,299,200.3,20.9,228.0,+45.0
184,,Houston (HOU)HOU DST,DST6,10,148,314,177.5,18.8,169.0,-15.0
185,,Greg ZuerleinG. Zuerlein LAR,K1,9,140,243,180.4,9.6,123.0,-62.0
186,,Los Angeles (LAC)LAC DST,DST7,12,141,352,177.8,30.0,147.0,-39.0
187,,T.J. HockensonT. Hockenson DET,TE20,5,55,354,204.1,60.7,149.0,-38.0
188,,Cleveland (CLE)CLE DST,DST8,7,134,286,180.4,16.7,157.0,-31.0
189,,Robert FosterR. Foster BUF,WR70,6,94,329,193.2,53.0,256.0,+67.0
190,,New Orleans (NO)NO DST,DST9,9,137,249,182.8,16.1,186.0,-4.0
191,,Harrison ButkerH. Butker KC,K2,12,144,225,183.6,5.9,151.0,-40.0
192,,Stephen GostkowskiS. Gostkowski NE,K3,10,145,252,186.8,11.6,167.0,-25.0
193,,Nick FolesN. Foles JAC,QB27,10,151,300,206.5,22.3,200.0,+7.0
194,,Justin TuckerJ. Tucker BAL,K4,8,143,302,184.3,15.8,132.0,-62.0
195,,Chris Herndon IVC. Herndon NYJ,TE21,4,116,352,209.8,47.8,187.0,-8.0
196,,David MooreD. Moore SEA,WR71,11,100,300,204.4,37.4,282.0,+86.0
197,,Rex BurkheadR. Burkhead NE,RB65,10,95,272,192.9,33.1,263.0,+66.0
198,,Denver (DEN)DEN DST,DST10,10,136,249,187.9,16.6,161.0,-37.0
199,,Marcus MariotaM. Mariota TEN,QB28,11,113,301,210.8,24.3,198.0,-1.0
200,,Wil LutzW. Lutz NO,K5,9,173,253,189.0,11.1,158.0,-42.0
201,,Zay JonesZ. Jones BUF,WR72,6,81,353,202.0,45.2,244.0,+43.0
Tier 11,
202,,Mason CrosbyM. Crosby GB,K6,11,175,255,196.4,17.4,206.0,+4.0
203,,Taylor GabrielT. Gabriel CHI,WR73,6,117,340,211.8,36.9,268.0,+65.0
204,,New England (NE)NE DST,DST11,10,156,266,197.7,20.1,179.0,-25.0
205,,Tony PollardT. Pollard DAL,RB66,8,77,337,177.7,53.1,171.0,-34.0
206,,Randall CobbR. Cobb DAL,WR74,8,110,342,215.0,41.0,208.0,+2.0
207,,Darwin ThompsonD. Thompson KC,RB67,12,57,310,182.6,54.1,180.0,-27.0
208,,Noah FantN. Fant DEN,TE22,10,69,332,222.8,53.1,182.0,-26.0
209,,Dallas GoedertD. Goedert PHI,TE23,10,116,348,218.7,47.1,183.0,-26.0
210,,Ka'imi FairbairnK. Fairbairn HOU,K7,10,148,332,199.9,31.3,173.0,-37.0
211,,Trey QuinnT. Quinn WAS,WR75,10,108,373,210.2,51.9,283.0,+72.0
212,,Malcolm BrownM. Brown LAR,RB68,9,120,331,204.3,41.1,249.0,+37.0
213,,Jake ElliottJ. Elliott PHI,K8,10,185,273,196.9,17.1,207.0,-6.0
214,,Buffalo (BUF)BUF DST,DST12,6,164,318,195.2,27.1,210.0,-4.0
215,,Marquise BrownM. Brown BAL,WR76,8,64,375,213.5,50.7,175.0,-40.0
216,,Dallas (DAL)DAL DST,DST13,8,173,312,202.5,27.1,177.0,-39.0
217,,Mecole HardmanM. Hardman KC,WR77,12,108,374,223.8,50.3,163.0,-54.0
218,,A.J. BrownA. Brown TEN,WR78,11,82,304,218.0,39.9,234.0,+16.0
219,,Brett MaherB. Maher DAL,K9,8,187,281,207.0,26.7,196.0,-23.0
220,,Michael BadgleyM. Badgley LAC,K10,12,186,309,210.3,30.2,213.0,-7.0
221,,Robbie GouldR. Gould SF,K11,4,186,309,211.9,30.5,190.0,-31.0
222,,Philadelphia (PHI)PHI DST,DST14,10,140,314,215.4,25.4,172.0,-50.0
223,,Matt PraterM. Prater DET,K12,5,186,342,212.1,35.0,203.0,-20.0
224,,Marqise LeeM. Lee JAC,WR79,10,111,349,219.6,46.5,262.0,+38.0
225,,Joe FlaccoJ. Flacco DEN,QB29,10,159,302,234.6,23.8,239.0,+14.0
