Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
173,,Rashaad PennyR. Penny SEA,RB53,,78,227,154.5,32.9
174,,Justin TuckerJ. Tucker BAL,K1,,171,183,178.7,2.8
175,,Minnesota (MIN)MIN DST,DST8,,164,213,181.6,13.1
176,,Philip RiversP. Rivers LAC,QB26,,118,275,182.4,22.2
177,,Chris ThompsonC. Thompson WAS,RB54,,132,289,172.6,29.6
178,,Jaylen SamuelsJ. Samuels PIT,RB55,,126,245,172.7,24.4
179,,Harrison ButkerH. Butker KC,K2,,171,183,173.0,3.9
180,,Wil LutzW. Lutz NO,K3,,179,204,185.3,5.7
181,,Benny Snell Jr.B. Snell PIT,RB56,,120,329,185.4,49.3
182,,Boston ScottB. Scott PHI,RB57,,143,289,188.2,31.3
183,,Mohamed SanuM. Sanu NE,WR66,,151,244,190.0,18.2
184,,Kenny StillsK. Stills HOU,WR67,,128,218,190.2,12.1
185,,Greg ZuerleinG. Zuerlein LAR,K4,,171,221,190.5,8.1
186,,Randall CobbR. Cobb DAL,WR68,,156,214,192.5,10.6
187,,Gus EdwardsG. Edwards BAL,RB58,,156,283,193.8,26.0
188,,Chris Herndon IVC. Herndon NYJ,TE24,,121,273,195.2,26.7
189,,Giovani BernardG. Bernard CIN,RB59,,170,238,188.4,13.0
190,,Andy IsabellaA. Isabella ARI,WR69,,147,231,199.1,14.3
191,,Kansas City (KC)KC DST,DST9,,164,279,202.6,23.7
192,,Gardner MinshewG. Minshew JAC,QB27,,158,331,202.8,28.8
193,,New Orleans (NO)NO DST,DST10,,176,213,202.9,7.2
194,,New York (NYJ)NYJ DST,DST11,,164,303,205.1,27.8
195,,Drew LockD. Lock DEN,QB28,,154,254,205.7,22.4
196,,DeAndre WashingtonD. Washington OAK,RB60,,161,337,198.4,39.3
197,,Chris ConleyC. Conley JAC,WR70,,151,216,199.9,11.9
198,,Albert WilsonA. Wilson MIA,WR71,,149,269,209.9,16.6
199,,Dion LewisD. Lewis TEN,RB61,,144,272,189.7,20.9
200,,Antonio BrownA. Brown FA,WR72,,45,226,136.1,60.3
201,,Robbie GouldR. Gould SF,K5,,187,233,213.0,9.2
Tier 12,
202,,Matt GayM. Gay TB,K6,,185,324,214.3,27.6
203,,Denver (DEN)DEN DST,DST12,,200,248,214.8,10.3
204,,Stephen GostkowskiS. Gostkowski NE,K7,,186,228,216.9,8.1
205,,Dawson KnoxD. Knox BUF,TE25,,108,291,208.3,41.4
206,,Rex BurkheadR. Burkhead NE,RB62,,156,307,208.8,33.8
207,,Tre'Quan SmithT. Smith NO,WR73,,137,245,209.8,18.7
208,,Matt PraterM. Prater DET,K8,,190,249,219.6,9.2
209,,Seattle (SEA)SEA DST,DST13,,201,293,219.8,18.9
210,,Allen LazardA. Lazard GB,WR74,,169,292,211.1,22.3
211,,Taylor GabrielT. Gabriel CHI,WR75,,190,261,211.2,14.9
212,,Derek CarrD. Carr OAK,QB29,,168,275,223.1,30.3
213,,Darwin ThompsonD. Thompson KC,RB63,,177,277,204.5,19.5
214,,Philadelphia (PHI)PHI DST,DST14,,180,234,224.4,8.4
215,,Danny AmendolaD. Amendola DET,WR76,,187,311,216.5,31.0
216,,Michael BadgleyM. Badgley LAC,K9,,192,287,226.5,14.9
217,,LeSean McCoyL. McCoy KC,RB64,,130,289,199.8,35.7
218,,Vance McDonaldV. McDonald PIT,TE26,,127,299,228.9,36.8
219,,Jacob HollisterJ. Hollister SEA,TE27,,133,325,221.7,44.9
220,,Los Angeles (LAC)LAC DST,DST15,,165,323,221.9,31.2
221,,Jalen RichardJ. Richard OAK,RB65,,168,296,214.7,32.3
222,,Nelson AgholorN. Agholor PHI,WR77,,158,290,225.2,22.9
223,,Devin FunchessD. Funchess IND,WR78,,202,306,225.7,28.1
224,,Malcolm BrownM. Brown LAR,RB66,,149,296,225.8,26.6
225,,Tennessee (TEN)TEN DST,DST16,,207,297,234.2,19.9
