name,pos,tm,dynoECR,dyno2QBECR,dynoSD,dynpECR,dynpSD,redpECR,redpSD
Jeremy Maclin,WR,FA,400,496.3,,,,99.4,12.2
Jamaal Charles,RB,FA,400,492,,,,99.5,18
Elijhaa Penny,RB,NYG,400,492,,,,99.7,7.3
Dontrelle Inman,WR,IND,400,496.3,,,,99.9,16.2
Garrett Griffin,TE,NOS,400,484.6,,,,100,8
Jeremy McNichols,RB,TEN,400,492,,,,100.6,9.7
Tyler Ervin,RB,BAL,400,492,,,,100.7,7.9
Ryan Hewitt,RB,IND,400,492,,,,101.5,7.5
Eddie Lacy,RB,FA,400,492,,,,101.7,18.6
Malcolm Mitchell,WR,FA,400,496.3,,,,101.8,9.8
Joshua Perkins,TE,PHI,400,484.6,,,,101.8,5
Jeremy Kerley,WR,FA,400,496.3,,,,103,10.2
Tommy Bohanon,RB,JAC,400,492,,,,103.2,6.2
Andy Janovich,RB,DEN,400,492,,,,103.4,5.7
Roc Thomas,RB,MIN,400,492,,,,103.4,8.7
Seth Roberts,WR,OAK,400,496.3,,,,103.7,11.8
Bruce Ellington,WR,DET,400,496.3,,,,103.9,9.5
Alex Armah,RB,CAR,400,492,,,,104.5,10.5
Temarrick Hemingway,TE,DEN,400,484.6,,,,104.5,2.5
Detrez Newsome,RB,LAC,400,492,,,,104.5,2
Trey Edmunds,RB,PIT,400,492,,,,104.6,10
Jakeem Grant,WR,MIA,400,496.3,,,,104.6,13.3
Akrum Wadley,RB,FA,400,492,,,,105,10.4
James Develin,RB,NEP,400,492,,,,106,7.2
Jamize Olawale,RB,DAL,400,492,,,,106.3,14.8
Kapri Bibbs,RB,GBP,400,492,,,,106.9,14.7
Cody Latimer,WR,NYG,400,496.3,,,,107,9.5
Patrick DiMarco,RB,BUF,400,492,,,,107,10.2
Kendall Wright,WR,FA,400,496.3,,,,107,19.2
Anthony Sherman,RB,KCC,400,492,,,,107.5,10.2
David Fluellen,RB,TEN,400,492,,,,108.5,8.2
Ryan Nall,RB,CHI,400,492,,,,108.7,8.1
Kenneth Farrow,RB,FA,400,492,,,,109,18
Kerwynn Williams,RB,DET,400,492,,,,109.3,10.2
CJ Ham,RB,MIN,400,492,,,,109.6,6.5
Chris Warren,RB,OAK,400,492,,,,109.6,13.7
Tre McBride,WR,WAS,400,496.3,,,,110,34
Marcell Ateman,WR,OAK,400,496.3,,,,110.3,15.2
Zach Line,RB,NOS,400,492,,,,110.7,6.1
Brandon LaFell,WR,OAK,400,496.3,,,,110.7,16.3
Shaun Wilson,RB,TBB,400,492,,,,111,15.3
Daurice Fountain,WR,IND,400,496.3,,,,111,29
Aaron Ripkowski,RB,FA,400,492,,,,111.8,8
Michael Burton,RB,CHI,400,492,,,,113,12.6
Justin Davis,RB,LAR,400,492,,,,113.4,8.3
Brian Hill,RB,ATL,400,492,,,,113.5,1.5
Taiwan Jones,RB,BUF,400,492,,,,114.2,7.9
Rashard Higgins,WR,CLE,400,496.3,,,,114.4,10.9
Derek Watt,RB,LAC,400,492,,,,114.5,7.9
Breshad Perriman,WR,CLE,400,496.3,,,,115,9.7
Byron Marshall,RB,WAS,400,492,,,,115,11.3
Derrick Coleman,RB,ARI,400,492,,,,115.7,16.7
Demarcus Robinson,WR,KCC,400,496.3,,,,115.9,12.3
Chris Moore,WR,BAL,400,496.3,,,,116.2,6.6
Roosevelt Nix,RB,PIT,400,492,,,,116.7,6.5
Darius Jackson,RB,DAL,400,492,,,,116.8,9.3
Senorise Perry,RB,MIA,400,492,,,,117.2,5.6
Branden Oliver,RB,FA,400,492,,,,119,7
Javon Wims,WR,CHI,400,496.3,,,,119.3,8
David Williams,RB,JAC,400,492,,,,120.7,8.7
Fitzgerald Toussaint,RB,FA,400,492,,,,120.7,3.4
TJ Jones,WR,DET,400,496.3,,,,121,9.6
Jarius Wright,WR,CAR,400,496.3,,,,121.1,10.9
Amara Darboh,WR,SEA,400,496.3,,,,121.2,14.4
Andre Holmes,WR,DEN,400,496.3,,,,122.8,6.7
Devante Mays,RB,CLE,400,492,,,,123,9.4
Elijah Hood,RB,CAR,400,492,,,,124,12
Justin Hardy,WR,ATL,400,496.3,,,,125.3,10.6
Jay Prosch,RB,FA,400,492,,,,125.3,14.3
Brandon Bolden,RB,MIA,400,492,,,,126,7.6
Chad Hansen,WR,DEN,400,496.3,,,,126.3,15.8
Johnny Holton,WR,FA,400,496.3,,,,126.3,7
Carlos Henderson,WR,WAS,400,496.3,,,,127.4,22.7
Jake Kumerow,WR,GBP,400,496.3,,,,128.8,22.8
Brandon Zylstra,WR,MIN,400,496.3,,,,129,11
Josh Malone,WR,CIN,400,496.3,,,,130,8.9
Braxton Miller,WR,PHI,400,496.3,,,,130.2,7.4
Marcus Johnson,WR,IND,400,496.3,,,,130.3,14.4
Shelton Gibson,WR,PHI,400,496.3,,,,130.7,18.5
Roger Lewis,WR,TEN,400,496.3,,,,131.8,33.5
Jordan Lasley,WR,BAL,400,496.3,,,,132.4,7.2
Justin Watson,WR,TBB,400,496.3,,,,132.5,9
Shane Smith,RB,FA,400,492,,,,133,3
Jaleel Scott,WR,BAL,400,496.3,,,,133.4,15.5
ArDarius Stewart,WR,WAS,400,496.3,,,,133.6,18.8
Kamar Aiken,WR,FA,400,496.3,,,,136,10.6
Russell Shepard,WR,NYG,400,496.3,,,,137,15.4
Tim Patrick,WR,DEN,400,496.3,,,,137.5,5.5
Darrius Heyward-Bey,WR,PIT,400,496.3,,,,137.9,12.5
Deonte Thompson,WR,BUF,400,496.3,,,,138,11.1
Justin Hunter,WR,PIT,400,496.3,,,,138.1,12.6
Aldrick Robinson,WR,MIN,400,496.3,,,,139.5,2.5
Dwayne Washington,RB,NOS,400,492,,,,139.7,9.6
Maurice Harris,WR,WAS,400,496.3,,,,140.6,10.2
Auden Tate,WR,CIN,400,496.3,,,,140.8,13
Richie James,WR,SFO,400,496.3,,,,140.9,13.2
Austin Carr,WR,NOS,400,496.3,,,,141.9,27.9
Ray-Ray McCloud,WR,BUF,400,496.3,,,,144.9,9
Pharoh Cooper,WR,ARI,400,496.3,,,,145.7,11.8
Andre Roberts,WR,NYJ,400,496.3,,,,145.9,9.3
Alex Erickson,WR,CIN,400,496.3,,,,145.9,7.7
Trevor Davis,WR,GBP,400,496.3,,,,146,10.6
De'Anthony Thomas,WR,KCC,400,496.3,,,,146.8,15.3
Riley McCarron,WR,NEP,400,496.3,,,,147.5,20.5
Josh Bellamy,WR,CHI,400,496.3,,,,147.9,14.4
Dwayne Harris,WR,OAK,400,496.3,,,,148.2,17.5
Geremy Davis,WR,LAC,400,496.3,,,,149,10.8
