gsis_id,pfr_id,mfl_id,sleeper_id,fantasy_data_id,rotowire_id,sportradar_id,rotoworld_id,yahoo_id,espn_id,stats_id,first_name,last_name,name,mergename,pos,team,age,salary_avg,fa_year,dynoECR,dyno2QBECR,dynoSD,dynpECR,dynpSD,rdpECR,rdpSD,draft_year,college,draft_round,draft_pick,draft_rookieadp,draft_2QBrookieadp,height,weight,armLength,handsize,forty,twenty-split,ten-split,bench,vertical,broad,shuttle,cone,RAS,offSnaps,offSnapsPct,gms,paATTs,paCMPs,paYDs,paTDs,paINTs,pa_aya,tm_paATTs,ruATTs,ruYDs,ruTDs,tm_ruATTs,tm_ruYDs,ms_ruATTs,tgts,recs,reYDs,reTDs,reAYDs,wopr,racr,adot,yac,ms_tgts,ms_AYDs,tm_tgts,tm_AYDs,1Ds,tm_1Ds,ms_1Ds,ppr,ppr/g
00-0030061,ErtzZa00,11247,1339,14856,8781,de3421f7-2147-4835-89a5-724e87bad463,8409,26658,15835,503177,Zach,Ertz,"Ertz, Zach",Zach Ertz,TE,PHI,28.8,8.5,2022,34.5,47.3,8.6,3.2,0.5,3,0.6,2013,Stanford,2,3,25,,77,250,31.625,9.625,4.74,2.78,1.685,24,33,112.5,4.47,7.08,7.52,1000,0.9158,16,,,,,,,598,,,,398,1585,,156,116,1163,8,1122,0.61,1.04,7.19,353,0.28,0.28,567,4051,66,309,0.21,280.3,17.52
00-0033293,JoneAa00,13319,4199,19045,11763,27dd5b6e-ea65-4622-a6b4-460fd144407c,12388,30295,3042519,741314,Aaron,Jones,"Jones, Aaron",Aaron Jones,RB,GBP,24.7,0.65,2021,35.1,47.3,9.1,16.7,3.9,16.2,3.8,2017,UTEP,5,38,40,37,69,208,32.5,9.5,4.56,2.605,1.6,16,37,127,4.2,6.82,8.44,376,0.3501,12,,,,,,,639,133,729,8,346,1718,0.38,35,26,206,1,9,0.08,22.89,0.26,221,0.06,0,628,5459,53,299,0.18,173.5,14.46
00-0027942,GreeA.00,10261,830,12845,7241,c9701373-23f6-4058-9189-8d9c085f3c49,6438,24791,13983,458093,AJ,Green,"Green, A.J.",AJ Green,WR,CIN,31,15,2020,35.4,47.4,7.4,19.3,7.1,28.3,6.3,2011,Georgia,1,4,,,76,210,34.375,9.25,4.49,2.63,1.56,18,34.5,126,4.21,6.91,9.4,458,0.4594,9,,,,,,,542,,,,357,1676,,77,46,694,6,949,0.37,0.73,12.32,163,0.15,0.22,530,4357,37,273,0.14,151.4,16.82
00-0034827,DJMoorxx20,13635,4983,19844,12477,d8202e6d-d03b-4cd1-a793-ff8fd39d9755,,30994,3915416,877790,D.J.,Moore,"Moore, D.J.",DJ Moore,WR,CAR,22.3,2.79,2023,38.2,51,10.7,18.4,4.7,25.3,3.8,2018,Maryland,1,24,9,12,72,210,31.625,9,4.42,2.59,1.54,15,39.5,132,4.07,6.95,9.75,733,0.6928,16,,,,,,,562,13,172,,459,2435,0.03,82,55,788,2,810,0.36,0.97,9.88,416,0.15,0.19,549,4219,39,344,0.11,163,10.19
00-0033856,FourLe00,13129,3969,18803,11687,7f46a7be-286e-4bfe-8778-d03dbe600ce9,12132,30117,3115364,822013,Leonard,Fournette,"Fournette, Leonard",Leonard Fournette,RB,JAC,24.6,6.79,2022,38.5,51.7,9.9,16.1,3.2,17.2,3.1,2017,LSU,1,4,1,2,72,228,31.625,9.25,4.51,2.65,1.59,NA,28.5,NA,NA,NA,8.46,280,0.2692,8,,,,,,,534,133,439,5,357,1537,0.37,26,22,185,1,-15,0.07,-12.33,-0.58,213,0.05,0,519,3611,33,248,0.13,120.4,15.05
,,14073,5850,20824,13582,61694ab9-b099-408e-b48d-6a643dd069ec,14026,31856,4047365,,Josh,Jacobs,"Jacobs, Josh",Josh Jacobs,RB,OAK,21.5,2.98,2024,40.5,54.3,8.7,17.1,4.5,20.5,3,2019,Alabama,1,24,,,70,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0030431,WoodRo02,11228,1352,14871,8628,618bedee-9259-4536-b0ff-fec98d2a20de,8407,26664,15880,555693,Robert,Woods,"Woods, Robert",Robert Woods,WR,LAR,27.3,6.8,2022,41.1,54.7,5.8,21,3.7,17.2,2.5,2013,USC,2,9,16,,72,195,31,9.25,4.51,2.67,1.62,14,33.5,117,4.44,7.15,3.88,1041,0.9464,16,,,,,,,565,19,157,1,412,1913,0.05,131,86,1219,6,1462,0.59,0.83,11.16,420,0.24,0.31,536,4644,75,349,0.21,265.6,16.6
00-0033951,MackMa00,13234,4152,18998,11765,413f7971-4d5b-496d-a11b-f623e9bc3b7c,12308,30256,3139605,840760,Marlon,Mack,"Mack, Marlon",Marlon Mack,RB,IND,23.4,0.7,2021,41.4,55.4,6.8,17.3,2.6,15.3,3,2017,South Florida,4,35,18,23,72,210,32,9,4.5,2.62,1.55,15,35.5,125,NA,NA,9.07,444,0.3908,12,,,,,,,643,195,908,9,405,1726,0.48,26,17,103,1,-8,0.06,-12.88,-0.31,126,0.04,0,631,4726,53,332,0.16,178.1,14.84
00-0034837,RidlCa00,13629,4981,19802,12616,926e2674-52d6-4cec-9991-46ee85cc8cfd,13137,30996,3925357,884013,Calvin,Ridley,"Ridley, Calvin",Calvin Ridley,WR,ATL,24.7,2.73,2023,44.1,58.6,9.4,20,3.2,24.4,3.8,2018,Alabama,1,26,11,15,73,190,31.625,9.125,4.43,2.6,1.55,15,31,110,4.41,6.88,5.84,644,0.6075,16,,,,,,,615,6,27,,351,1573,0.02,92,64,821,10,931,0.35,0.88,10.12,364,0.15,0.17,603,5322,40,322,0.12,208.8,13.05
00-0033921,GodwCh00,13163,4037,18880,11718,baa61bb5-f8d0-4f90-bbe2-028576b8d33d,12201,30197,3116165,835127,Chris,Godwin,"Godwin, Chris",Chris Godwin,WR,TBB,23.5,0.82,2021,44.4,59,7,20.4,3.5,19.7,3.6,2017,Penn State,3,20,22,24,73,209,31.625,9.125,4.42,2.58,1.54,19,36,126,4,7.01,9.74,717,0.643,16,,,,,,,624,,,,389,1525,,95,59,842,7,1134,0.35,0.74,11.94,257,0.15,0.17,620,6629,48,344,0.14,185.2,11.58
