"count_col","mfl_id","sleeper_id","pfr_id","gsis_id","pff_id","espn_id","yahoo_id","ras_id","otc_id"
"1011","15871","8348",NA,NA,NA,"4360383","34053",NA,NA
"1012","15872","8293",NA,NA,NA,"4239094","34065",NA,NA
"1013","15873","8225","BellDa00","00-0038115",NA,"4361516","34068",NA,NA
"1014","15874","8394",NA,NA,NA,"4363097","34069",NA,NA
"1015","15875","8395",NA,NA,NA,"4426686","34070",NA,NA
"1016","15876","8386",NA,NA,NA,"4240707","34071",NA,NA
"1017","15877","8347",NA,NA,NA,"4066109","34072",NA,NA
"1018","15878","8316",NA,NA,NA,"4240896","34073",NA,NA
"1019","15879","8276",NA,NA,NA,"4372017","34075",NA,NA
"1020","15880","8389",NA,NA,NA,"4244607","34074",NA,NA
"1021","15881","8261",NA,NA,NA,"4035686","34077",NA,NA
"1022","15882","8258",NA,NA,NA,"4428963","34080",NA,NA
"1023","15883","8307",NA,NA,NA,"4242234","34082",NA,NA
"1024","15884","8467",NA,NA,NA,"4260224",NA,NA,NA
"1025","15885","8470",NA,NA,NA,"4917635","34091",NA,NA
"1026","15886","8361",NA,NA,NA,"4567480","34097",NA,NA
"1027","15887","8466",NA,NA,NA,"4379396",NA,NA,NA
"1028","15888","8381",NA,NA,NA,NA,"",NA,NA
"1029","15889","8210","OkonCh00","00-0037809",NA,"4360635","34099",NA,NA
"1030","15890","8396","McFaMi01","00-0037259",NA,"4371961","34102",NA,NA
"1031","15891","8262",NA,NA,NA,"4242899","34103",NA,NA
"1032","15892","8380",NA,NA,NA,"4360749","34106",NA,NA
"1033","15893","8282",NA,NA,NA,"4360287","34108",NA,NA
"1034","15894","8374",NA,NA,NA,"4245185","34109",NA,NA
"1035","15895","8384",NA,NA,NA,"4250392","34113",NA,NA
"1036","15896","8336",NA,NA,NA,"4361340","34114",NA,NA
"1037","15897","8473",NA,NA,NA,"4050971","34115",NA,NA
"1038","15898","8331",NA,NA,NA,"4367210","34116",NA,NA
"1039","15899","8367",NA,"00-0037271",NA,NA,"34117",NA,NA
"1040","15900","8475","WashMo00","00-0037272",NA,"4248822","34118",NA,NA
"1041","15901","8171","PhilKy01","00-0037273",NA,"4367175","34119",NA,NA
"1042","15902","8342",NA,NA,NA,"4240759","34121",NA,NA
"1043","15903","8377",NA,NA,NA,"4257240","34122",NA,NA
"1044","15904","8476",NA,NA,NA,"4248911","34123",NA,NA
"1045","15905","8227","QuitTe00","00-0037277",NA,"4374045","34126",NA,NA
"1046","15906","8478",NA,NA,NA,"4280416","34128",NA,NA
"1047","15907","8391",NA,NA,NA,"4244300","34130",NA,NA
"1048","15908","8332",NA,NA,NA,"4242457","34131",NA,NA
"1049","15909","8170","MitcJa00","00-0037282",NA,"4361988","34133",NA,NA
"1050","15910","8306",NA,NA,NA,"4248047","34134",NA,NA
"1051","15911","8486",NA,NA,NA,"4361496",NA,NA,NA
"1052","15912","8483","JohnKy02","00-0037084",NA,NA,"34137",NA,NA
"1053","15913","8487",NA,NA,NA,NA,"34141",NA,NA
"1054","15914","8334","RodrMa00","00-0037289",NA,"4241411","34144",NA,NA
"1055","15915","8327",NA,NA,NA,"4568439","34145",NA,NA
"1056","15916","8489",NA,"00-0037292",NA,NA,"34148",NA,NA
"1057","15917","8498","HarpDe00","00-0037293",NA,NA,"34149",NA,NA
"1058","15918","8370",NA,NA,NA,"4261090","34150",NA,NA
"1059","15919","8503",NA,NA,NA,NA,"34153",NA,NA
"1060","15920","8492",NA,NA,NA,"4077786","34156",NA,NA
"1061","15921","8496",NA,NA,NA,NA,"34164",NA,NA
"1062","15922","8495",NA,NA,NA,"4242358","34161",NA,NA
"1063","15923","8330",NA,NA,NA,"4249128","34167",NA,NA
"1064","15924","8271",NA,NA,NA,NA,"34168",NA,NA
"1065","15925","8500",NA,"00-0037306",NA,"4379401","34169",NA,NA
"1066","15926","8481",NA,NA,NA,"4240434","34170",NA,NA
"1067","15927","8490",NA,NA,NA,"4037474","34172",NA,NA
"1068","15928","8494","HousJa01","00-0037310",NA,"4240608","34173",NA,NA
"1069","15929","8484","KiefKo00","00-0037311",NA,"4034779","34174",NA,NA
"1070","15930","8369",NA,"00-0037312",NA,NA,"34175",NA,NA
"1071","15931","8375",NA,NA,NA,NA,"34176",NA,NA
"1072","15932","8321",NA,NA,NA,NA,"34177",NA,NA
"1073","15933","8305",NA,NA,NA,NA,"34178",NA,NA
"1074","15934","8281",NA,NA,NA,"4241404","34179",NA,NA
"1075","15935","8526",NA,"00-0037315",NA,NA,"34180",NA,NA
"1076","15936","8525","RobiMa03","00-0037316",NA,"4249342","34181",NA,NA
"1077","15937","8523","MuseNi00","00-0037317",NA,"4249624","34183",NA,NA
"1078","15938","8405",NA,NA,NA,"4240486",NA,NA,NA
"1079","15939","8299","SpecBa00","00-0037318",NA,NA,"34187",NA,NA
"1080","15940","8521",NA,NA,NA,NA,"34188",NA,NA
"1081","15941","8527","YounDa02","00-0037093",NA,"4401805","34189",NA,NA
"1082","15942","8344",NA,NA,NA,NA,"34190",NA,NA
"1083","15943","8520","HardDa01","00-0037843",NA,"4365629","34191",NA,NA
"1084","15944","8519",NA,NA,NA,NA,"",NA,NA
"1085","15945","8264",NA,NA,NA,NA,"34193",NA,NA
"1086","15946","8517",NA,NA,NA,"4248455","34195",NA,NA
"1087","15947","8516",NA,NA,NA,"4035105","34196",NA,NA
"1088","15948","8413",NA,"00-0037324",NA,NA,"34197",NA,NA
"1089","15949","8312",NA,NA,NA,"4373017",NA,NA,NA
"1090","15950","8373",NA,NA,NA,"4697639","34199",NA,NA
"1091","15951","8515",NA,NA,NA,NA,NA,NA,NA
"1092","15952","8512",NA,"00-0037328",NA,NA,"34204",NA,NA
"1093","15953","8423","BrowBr06","00-0037329",NA,NA,"34206",NA,NA
"1094","15954","8402",NA,NA,NA,NA,"34208",NA,NA
"1095","15955","8510",NA,NA,NA,NA,"34209",NA,NA
"1096","15956","8509",NA,NA,NA,NA,"34210",NA,NA
"1097","15957","8508",NA,NA,NA,"4240128",NA,NA,NA
"1098","15958","8322","LukeJe00","00-0037330",NA,NA,"34212",NA,NA
"1099","15959","8506",NA,NA,NA,"4043625","34215",NA,NA
"1100","15960","8428","HorvZa00","00-0037331",NA,"4260406","34216",NA,NA
"1101","15962","8429",NA,NA,NA,NA,"34405",NA,NA
"1102","15963","8224",NA,"00-0037165",NA,NA,"34275",NA,NA
"1103","15964","8260",NA,NA,NA,NA,"34345",NA,NA
"1104","15965","8254","ChesJu00","00-0037594",NA,"4367567","34451",NA,NA
"1105","15966","8233",NA,"00-0037226",NA,NA,"34445",NA,NA
"1106","15967","8812",NA,NA,NA,NA,"34575",NA,NA
"1107","15968","8247",NA,"00-0037233",NA,NA,"34252",NA,NA
"1108","15969","8301",NA,"00-0037178",NA,NA,NA,NA,NA
"1109","15970","8249","KrulLu00","00-0037539",NA,NA,"34654",NA,NA
"1110","15971","8236",NA,"00-0037486",NA,NA,"34516",NA,NA
"1111","15972","8408","MasoJo00","00-0037525",NA,"4360569","34320",NA,NA
"1112","15973","8255","BlacRa00","00-0037429",NA,"4259308","34617",NA,NA
"1113","15974","8775",NA,NA,NA,NA,"34249",NA,NA
"1114","15975","8363","SanbJa00","00-0037109",NA,"4372576","34370",NA,NA
"1115","15976","8246",NA,"00-0037495",NA,NA,"34234",NA,NA
"1116","15977","8253","ThomDe07","00-0037487",NA,"4374187","34520",NA,NA
"1117","15978","8345",NA,NA,NA,NA,NA,NA,NA
"1118","15979","8259",NA,NA,NA,NA,"34344",NA,NA
"1119","15980","8650",NA,"00-0037071",NA,NA,"34255",NA,NA
"1120","15981","8917",NA,"00-0037801",NA,"3676833","34709",NA,NA
"1121","15982","8263","ButlDa00","00-0037503",NA,"4360466","34536",NA,NA
"1122","15983","8801","HousDe01","00-0037570",NA,NA,"34592",NA,NA
"1123","15984","8861",NA,"00-0037156",NA,NA,"34356",NA,NA
"1124","15985","8399",NA,NA,NA,NA,NA,NA,NA
"1125","15987","8756","JohnBr23","00-0037382",NA,NA,"34571",NA,NA
"1126","15988","8731",NA,"00-0037174",NA,NA,"34387",NA,NA
"1127","15989","8275",NA,NA,NA,NA,"34383",NA,NA
"1128","15990","8665","RogeAr00","00-0037168",NA,NA,"34278",NA,NA
"1129","15991","8849",NA,NA,NA,NA,"34513",NA,NA
"1130","15992","8240",NA,"00-0037115",NA,NA,"34256",NA,NA
"1131","15993","8745","McCuLa01","00-0037055",NA,"4247812","34330",NA,NA
"1132","15994","8403","WeatSt01","00-0037406",NA,NA,"34531",NA,NA
"1133","15996","8416","VirgJa00","00-0037387",NA,NA,"34579",NA,NA
"1134","15997","8602",NA,"00-0037119",NA,NA,"34260",NA,NA
"1135","15998","8274",NA,NA,NA,NA,"34427",NA,NA
"1136","16000","8197","HendPe01","00-0037569",NA,"4258248","34607",NA,NA
"1137","16001","8663","BernJa00","00-0037580",NA,NA,"34284",NA,NA
"1138","16002","8577",NA,NA,NA,NA,"34633",NA,NA
"1139","16003","8530","VilaLu00","00-0037499",NA,"4258210",NA,NA,NA
"1140","16004","8839","MastLu00","00-0037517",NA,"4037212","34549",NA,NA
"1141","16006","8870","FatuOl00","00-0037481",NA,NA,"34502",NA,NA
"1142","16007","8547",NA,NA,NA,NA,NA,NA,NA
"1143","16008","8285","RossJo01","00-0037184",NA,NA,NA,NA,NA
"1144","16009","8680","GibbJa00","00-0037596",NA,"4249739","34454",NA,NA
"1145","16010","8528",NA,NA,NA,NA,NA,NA,NA
"1146","16011","8538",NA,NA,NA,NA,NA,NA,NA
"1147","16013","8659",NA,"00-0037587",NA,NA,NA,NA,NA
