fp_page,page_type,ecr_type,player,id,pos,team,ecr,sd,best,worst,sportsdata_id,player_filename,yahoo_id,cbs_id,player_owned_avg,player_owned_espn,player_owned_yahoo,player_image_url,player_square_image_url,rank_delta,bye,mergename,scrape_date,tm
/nfl/rankings/best-ball-overall.php,best-overall,bo,CeeDee Lamb,19202,WR,DAL,2.44,0.5,2,3,a72ea15b-5199-4101-a300-846e1c655add,ceedee-lamb.php,32687,2865251,100,99.9,100,https://images.fantasypros.com/images/players/nfl/19202/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19202/headshot/210x210.png,NA,7,CeeDee Lamb,2024-05-24,DAL
/nfl/rankings/best-ball-overall.php,best-overall,bo,Tyreek Hill,15802,WR,MIA,3.67,1.41,2,6,01d8aee3-e1c4-4988-970a-8c0c2d08bd83,tyreek-hill.php,29399,2131163,100,99.9,100,https://images.fantasypros.com/images/players/nfl/15802/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/15802/headshot/210x210.png,NA,6,Tyreek Hill,2024-05-24,MIA
/nfl/rankings/best-ball-overall.php,best-overall,bo,Ja'Marr Chase,19788,WR,CIN,3.89,0.57,3,5,fa99e984-d63b-4ef4-a164-407f68a7eeaf,jamarr-chase.php,33393,2966320,99.4,99.8,99,https://images.fantasypros.com/images/players/nfl/19788/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19788/headshot/210x210.png,NA,12,JaMarr Chase,2024-05-24,CIN
/nfl/rankings/best-ball-overall.php,best-overall,bo,Justin Jefferson,19236,WR,MIN,4.78,1.13,2,6,4131d4ee-0318-4bb5-832a-4dec80668a4f,justin-jefferson.php,32692,2871343,100,99.9,100,https://images.fantasypros.com/images/players/nfl/19236/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19236/headshot/210x210.png,NA,6,Justin Jefferson,2024-05-24,MIN
/nfl/rankings/best-ball-overall.php,best-overall,bo,Bijan Robinson,23133,RB,ATL,6,1.7,3,8,f78d68c2-f9da-48e7-b954-26b69efd828d,bijan-robinson.php,40055,3168163,99.8,99.6,100,https://images.fantasypros.com/images/players/nfl/23133/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/23133/headshot/210x210.png,NA,12,Bijan Robinson,2024-05-24,ATL
/nfl/rankings/best-ball-overall.php,best-overall,bo,Amon-Ra St. Brown,19799,WR,DET,6.67,0.82,6,8,26ef0447-29b8-4dd1-9831-dcbf8132bb74,amonra-stbrown.php,33500,2967690,100,99.9,100,https://images.fantasypros.com/images/players/nfl/19799/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19799/headshot/210x210.png,NA,5,Amon-Ra St Brown,2024-05-24,DET
/nfl/rankings/best-ball-overall.php,best-overall,bo,Breece Hall,22982,RB,NYJ,6.78,1.23,4,8,db1053d7-3343-43a3-9aab-8353f10f1221,breece-hall.php,33991,3123469,98.9,99.7,98,https://images.fantasypros.com/images/players/nfl/22982/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/22982/headshot/210x210.png,NA,12,Breece Hall,2024-05-24,NYJ
/nfl/rankings/best-ball-overall.php,best-overall,bo,Puka Nacua,23180,WR,LAR,9.78,0.79,9,11,111be44d-7bc2-4cad-934d-c9e946293b2f,puka-nacua.php,40168,3121687,96.9,99.7,94,https://images.fantasypros.com/images/players/nfl/23180/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/23180/headshot/210x210.png,NA,6,Puka Nacua,2024-05-24,LAR
/nfl/rankings/best-ball-overall.php,best-overall,bo,A.J. Brown,18218,WR,PHI,9.89,0.87,9,11,a9e580f2-1fbe-46fb-887c-c84089b507e4,aj-brown.php,31883,2258303,99.9,99.8,100,https://images.fantasypros.com/images/players/nfl/18218/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/18218/headshot/210x210.png,NA,5,AJ Brown,2024-05-24,PHI
/nfl/rankings/best-ball-overall.php,best-overall,bo,Garrett Wilson,23072,WR,NYJ,11.89,1.79,10,15,68d72fe0-79b2-4fdb-afd5-6c79676e77f3,garrett-wilson.php,33965,3123864,97.6,99.2,96,https://images.fantasypros.com/images/players/nfl/23072/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/23072/headshot/210x210.png,NA,12,Garrett Wilson,2024-05-24,NYJ
