Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
285,,Kendrick BourneK. Bourne SF,WR97,,239,341,263.3,11.8
286,,Cody ParkeyC. Parkey CHI,K23,,252,338,288.7,10.0
287,,Jake KumerowJ. Kumerow GB,WR98,,212,310,268.7,12.6
Tier 13,
288,,Mark WaltonM. Walton CIN,RB80,,238,329,290.3,22.4
289,,Breshad PerrimanB. Perriman CLE,WR99,,218,295,273.9,23.0
290,,Wayne GallmanW. Gallman NYG,RB81,,259,315,294.0,11.6
291,,LeGarrette BlountL. Blount DET,RB82,,254,313,295.0,10.0
292,,Detroit (DET)DET DST,DST23,,277,303,295.4,6.3
293,,Ty MontgomeryT. Montgomery BAL,RB83,,255,312,287.4,14.0
294,,Trenton CannonT. Cannon NYJ,RB84,,120,336,295.7,49.3
295,,Danny AmendolaD. Amendola MIA,WR100,,263,319,288.4,10.5
296,,Charles ClayC. Clay BUF,TE33,,235,322,264.2,9.6
297,,Green Bay (GB)GB DST,DST24,,278,314,297.0,6.4
298,,Joe FlaccoJ. Flacco BAL,QB34,,212,315,297.7,16.8
299,,Rishard MatthewsR. Matthews NYJ,WR101,,246,318,290.6,15.0
300,,Steven HauschkaS. Hauschka BUF,K24,,278,309,298.9,6.5
301,,Javorius AllenJ. Allen BAL,RB85,,264,308,292.3,9.4
302,,New York (NYG)NYG DST,DST25,,279,317,302.1,9.5
303,,Josh LamboJ. Lambo JAC,K25,,277,319,296.9,7.6
304,,Chris IvoryC. Ivory BUF,RB86,,284,331,304.9,6.0
305,,Cordarrelle PattersonC. Patterson NE,WR102,,193,341,277.3,10.7
306,,Luke WillsonL. Willson DET,TE34,,258,317,278.8,4.5
307,,Darren SprolesD. Sproles PHI,RB87,,168,322,299.6,12.3
308,,Jermaine KearseJ. Kearse NYJ,WR103,,268,346,292.9,12.0
309,,Ameer AbdullahA. Abdullah MIN,RB88,,275,321,302.0,16.5
310,,Blake JarwinB. Jarwin DAL,TE35,,158,245,203.7,35.6
311,,Deon CainD. Cain IND,WR104,,239,312,284.3,11.0
312,,Phillip DorsettP. Dorsett NE,WR105,,269,323,297.7,9.7
313,,Washington (WAS)WAS DST,DST26,,248,314,298.0,22.3
314,,Daniel CarlsonD. Carlson OAK,K26,,289,320,308.3,11.3
315,,Marshawn LynchM. Lynch OAK,RB89,,98,356,276.8,94.6
316,,Corey GrantC. Grant JAC,RB90,,291,327,311.8,6.1
317,,Darrel WilliamsD. Williams KC,RB91,,122,361,318.4,29.5
318,,Allen HurnsA. Hurns DAL,WR106,,264,313,297.0,10.8
319,,Tampa Bay (TB)TB DST,DST27,,269,348,313.8,8.4
320,,Alfred BlueA. Blue HOU,RB92,,281,335,313.9,11.0
321,,Keith KirkwoodK. Kirkwood NO,WR107,,216,343,300.2,9.0
322,,Cairo SantosC. Santos TB,K27,,276,325,309.1,16.3
323,,Trent TaylorT. Taylor SF,WR108,,276,333,304.7,10.7
324,,Greg JosephG. Joseph CLE,K28,,284,304,293.4,8.4
325,,Jeremy HillJ. Hill NE,RB93,,278,329,314.1,12.8
326,,Dustin HopkinsD. Hopkins WAS,K29,,287,347,314.4,11.4
327,,Miami (MIA)MIA DST,DST28,,295,323,315.4,8.4
328,,Jonnu SmithJ. Smith TEN,TE36,,250,258,254.0,3.3
