PLAYERID,DRAFTYEAR,POSITION,40,20,10,BENCH,VERTICAL,BROAD,SHUTTLE,CONE
328,1987,QB,5.1,2.88,1.69,3,23,709,4.63,
329,1987,DE,,,,,,,,
330,1987,LB,,,,,,,,
331,1987,K,,,,,,,,
332,1987,SS,,,,,,,,
333,1987,DE,,,,,,,,
334,1987,RB,,,,12,,,,
335,1987,OG,5.22,3.03,1.74,26,23.5,801,4.91,
336,1987,WR,,,,,,,,
337,1987,LB,,,,16,26,811,,
338,1987,DT,,,,,,,,
339,1987,FS,,,,,,,,
340,1987,RB,4.52,2.62,1.55,15,30.5,905,4.41,
341,1987,TE,4.89,2.75,1.68,9,30,811,4.2,
342,1987,FS,4.56,2.58,1.52,11,,,,
343,1987,WR,4.53,2.6,1.49,,31,900,4.22,
344,1987,DE,5.21,2.99,1.77,,25,,4.61,
345,1987,RB,,,,,,,,
346,1987,RB,,,,12,,,,
347,1987,DT,5.03,2.9,1.71,20,25,804,4.56,
348,1987,LB,4.6,2.64,1.59,21,28.5,904,4.2,
349,1987,FB,4.71,2.77,1.65,22,24.5,810,4.35,
350,1987,SS,4.72,2.73,1.64,6,33,1002,4.27,
351,1987,FS,4.55,2.63,1.58,,29,904,4.44,
352,1987,LB,4.69,2.67,1.61,22,30,903,4.02,
353,1987,RB,,,,,,,,
354,1987,RB,,,,10,,,,
355,1987,LB,4.82,2.77,1.64,10,32.5,909,4.55,
356,1987,LB,4.8,2.75,1.67,17,28,900,4.5,
357,1987,OG,5.37,3.12,1.76,18,26,804,4.92,
358,1987,CB,4.58,2.67,1.56,,29,906,4.3,
359,1987,RB,4.69,2.74,1.59,19,25.5,801,4.35,
360,1987,DE,,,,,,,,
361,1987,OT,5.23,3.06,1.83,13,27,703,5.04,
362,1987,RB,,,,,,,,
363,1987,FB,,,,15,,,,
364,1987,RB,,,,,,,,
365,1987,SS,,,,11,,,,
366,1987,RB,4.71,2.72,1.61,20,27.5,808,4.88,
367,1987,SS,4.84,2.81,1.62,8,27,807,4.21,
368,1987,DT,,,,,,,,
369,1987,SS,,,,,,,,
370,1987,DE,4.85,2.77,1.66,18,29,907,4.55,
371,1987,RB,4.74,2.79,1.68,6,28,902,4.28,
372,1987,Wr,,,,,,,,
373,1987,RB,4.65,2.7,1.6,,31,908,4.55,
374,1987,FS,,,,,,,,
375,1987,OG,4.82,2.79,1.65,18,30.5,906,5.05,
376,1987,OT,5.22,2.99,1.78,,27.5,803,4.81,
377,1987,LB,4.86,2.79,1.66,27,28.5,902,4.6,
378,1987,QB,4.75,2.75,1.63,13,,,,
379,1987,DE,5.2,3.04,1.81,18,27.5,803,4.74,
380,1987,DT,4.97,2.82,1.69,20,28.5,902,4.86,
381,1987,LB,4.54,2.64,1.57,22,29.5,908,4.36,
382,1987,FB,4.68,2.74,1.65,14,26.5,903,4.56,
383,1987,LB,,,,,,,,
384,1987,CB,4.67,2.73,1.59,8,37,1002,4.35,
385,1987,DE,,,,,,,,
386,1987,OC,,,,,,,,
387,1987,OG,,,,29,,,,
388,1987,DE,,,,17,33.5,907,,
389,1987,TE,4.71,2.72,1.62,10,28,811,4.43,
390,1987,WR,4.59,2.6,1.55,3,32.5,1000,,
391,1987,LB,4.69,2.78,1.71,16,30,903,4.36,
392,1988,WR,4.4,2.54,1.54,3,30,901,4.34,
393,1988,DE,,,,,,,,
394,1988,WR,,,,,,,,
395,1988,DT,5.17,3.03,1.77,23,24,807,4.71,
396,1988,DT,4.89,2.85,1.72,34,32,907,4.43,
397,1988,RB,4.69,2.67,1.65,,33.5,1003,4.5,
398,1988,DT,,,,,,,,
399,1988,TE,4.72,2.77,1.65,23,30,901,4.32,
400,1988,WR,4.7,2.67,1.63,8,28.5,900,4.38,
401,1988,TE,4.95,2.84,1.71,,29.5,,4.46,
402,1988,LB,,,,19,28,900,4.7,
403,1988,OT,5.41,3.09,1.86,,27,801,5.01,
404,1988,WR,4.48,2.64,1.58,8,30.5,902,4.11,
405,1988,CB,,,,,,,,
406,1988,WR,4.38,2.59,1.62,14,32,903,4.2,
407,1988,SS,4.43,2.58,1.56,17,38.5,1101,3.82,
408,1988,RB,,,,,,,,
409,1988,DT,5.34,3.16,1.89,22,26,711,5.03,
410,1988,LB,,,,,,,,
411,1988,WR,4.51,2.62,1.59,10,35.5,1004,4.3,
412,1988,P,,,,,,,,
413,1988,LB,,,,,,,,
414,1988,SS,4.53,2.7,1.64,15,33,1001,4.18,
415,1988,WR,4.37,2.55,1.54,6,32,907,4.05,
416,1988,OG,5.22,3.03,1.84,32,28,805,4.96,
417,1988,LB,4.76,2.76,1.67,,31.5,903,4.25,
418,1988,FS,4.63,2.74,1.62,16,30.5,904,4.13,
419,1988,LB,,,,,,,,
420,1988,FB,4.46,2.55,1.54,18,30.5,901,4.2,
421,1988,OG,5.15,2.98,1.79,25,29,800,4.69,
422,1988,DB,,,,,,,,
423,1988,TE,4.71,2.73,1.68,6,33,907,4.25,
424,1988,FS,4.61,2.67,1.59,9,35.5,903,4.21,
425,1988,FB,4.69,2.65,1.6,17,,,,
426,1988,CB,4.53,2.64,1.61,15,33.5,907,4.33,
427,1988,DT,,,,,,,,
428,1988,WR,4.36,2.54,1.55,17,36,,,
429,1988,WR,4.57,2.67,1.63,13,33.5,910,4.4,
430,1988,WR,4.48,2.61,1.59,13,,,,
431,1988,LB,,,,,,,,
432,1988,LB,4.64,2.7,1.71,13,34,1003,4.36,
433,1988,OG,5.01,2.87,1.76,34,28.5,811,4.84,
434,1988,TE,4.99,2.89,1.74,24,33.5,810,4.31,
435,1988,DB,,,,,,,,
436,1988,QB,,,,,,,,
437,1988,OG,5.06,2.99,1.81,30,26.5,804,5,
438,1988,DB,,,,,,,,
439,1988,RB,,,,9,,,,
440,1988,WR,,,,,,,,
441,1988,LB,,,,,,,,
442,1988,DB,,,,,,,,
443,1988,WR,4.62,2.69,1.66,9,30.5,902,4.48,
444,1988,LB,,,,,,,,
445,1988,DT,,,,,,,,
446,1988,FB,4.69,2.68,1.64,16,29.5,901,4.64,
447,1988,CB,,,,,,,,
448,1988,FB,4.71,2.79,1.69,17,28.5,811,4.45,
449,1988,FS,,,,,,,,
450,1988,K,,,,,,,,
451,1988,DB,,,,,,,,
452,1988,QB,4.87,2.81,1.69,10,30,806,4.4,
453,1988,LB,4.82,2.8,1.7,19,34,902,4.4,
454,1988,LB,4.9,2.87,1.71,23,32.5,901,4.13,
455,1988,TE,4.67,2.67,1.64,27,,,,
456,1988,FS,,,,6,,,,
457,1988,OC,4.88,2.81,1.68,26,30.5,904,4.58,
458,1988,CB,4.61,2.74,1.62,15,32.5,905,4.3,
459,1988,WR,4.67,2.7,1.61,3,29,811,4.25,
460,1988,LB,,,,15,,,,
461,1988,CB,,,,6,,,,
462,1988,FB,,,,,,,,
463,1988,OT,5.2,3.01,1.78,26,25,803,4.84,
464,1988,CB,4.42,2.64,1.58,7,32.5,909,4.34,
465,1988,DE,,,,,,,,
466,1988,WR,4.46,2.59,1.59,3,31,807,4.22,
467,1988,DT,,,,,,,,
468,1988,QB,5.27,2.98,1.83,5,26.5,803,4.64,
469,1988,QB,5.1,2.93,1.81,,25.5,801,4.62,
470,1988,LB,,,,,,,,
471,1988,SS,4.59,2.67,1.59,18,30.5,907,,
472,1988,QB,,,,,,,,
473,1988,QB,4.86,2.79,1.68,,25,805,4.49,
474,1988,WR,4.7,2.66,1.63,6,30.5,907,4.45,
475,1988,DE,4.9,2.9,1.75,,25,902,4.65,
476,1988,TE,,,,,,,,
477,1988,LB,,,,17,,,,
478,1988,LB,,,,,,,,
479,1988,FS,4.59,2.72,1.62,11,33.5,911,4.28,
480,1988,FS,,,,,,,,
481,1988,LB,4.92,2.79,1.66,15,29.5,902,4.58,
482,1988,WR,4.75,2.72,1.67,10,29,900,4.35,
483,1988,WR,4.62,2.73,1.68,11,31.5,909,4.45,
484,1988,RB,4.59,2.68,1.66,20,30.5,,,
485,1988,WR,4.78,2.8,1.67,2,28.5,807,4.44,
486,1988,WR,4.46,2.59,1.58,10,34.5,902,4.02,
487,1988,OT,4.99,2.93,1.75,13,32,1002,4.62,
488,1988,OG,,,,,,,,
489,1988,OT,,,,,,,,
490,1988,OT,5.56,3.22,1.94,25,23,704,5.08,
491,1988,DT,5,2.88,1.69,24,27.5,807,4.79,
492,1988,OC,5.28,2.98,1.72,31,28.5,808,4.98,
493,1988,OT,5.41,3.1,1.88,19,24,802,4.53,
494,1988,OT,4.9,2.87,1.72,32,27.5,809,4.67,
495,1988,DT,,,,,,,,
496,1988,DT,5.11,3,1.79,16,25,806,,
497,1988,OT,5.12,2.96,1.78,30,32,903,4.53,
498,1988,WR,4.59,2.68,1.63,6,33.5,911,4.32,
499,1988,OT,5.29,3.11,1.87,22,22.5,706,4.98,
500,1988,RB,,,,,,,,
501,1988,LB,,,,,,,,
502,1988,SS,4.71,2.72,1.61,14,35.5,1006,4.24,
503,1988,OT,,,,,,,,
504,1988,CB,4.86,2.81,1.64,7,33,902,4.25,
505,1988,QB,,,,,,,,
506,1988,DT,,,,,,,,
507,1988,CB,,,,,,,,
508,1988,OC,4.94,2.95,1.77,24,30,901,4.34,
509,1988,SS,4.61,2.72,1.59,8,28,804,4.54,
510,1988,CB,4.59,2.7,1.66,10,28.5,711,4.63,
511,1988,DT,,,,18,,,,
512,1988,QB,4.53,2.64,1.57,,32,906,4.2,
513,1988,TE,,,,,,,,
514,1988,OT,5.36,3.05,1.83,19,25.5,909,4.78,
515,1988,WR,4.64,2.68,1.63,5,28.5,810,4.18,
516,1988,CB,,,,,,,,
517,1988,CB,4.77,2.81,1.73,,31.5,810,4.4,
518,1988,OG,5.01,2.92,1.73,24,26,810,4.66,
519,1988,OC,,,,,,,,
520,1988,LB,4.77,2.83,1.67,20,,,,
521,1988,DB,,,,,,,,
522,1988,CB,4.46,2.62,1.58,14,30.5,904,4.19,
523,1988,OG,5.09,3.05,1.89,25,27.5,900,4.76,
524,1988,CB,4.54,2.59,1.56,,38.5,1009,4.09,
525,1988,DB,,,,,,,,
526,1988,LB,,,,,,,,
527,1988,OT,5.05,2.95,1.77,18,25,804,,
528,1988,CB,4.52,2.65,1.59,,30.5,901,4.4,
529,1988,SS,,,,12,35,910,4.39,
530,1988,WR,,,,,,,,
531,1988,DT,4.61,2.7,1.63,29,28,903,4.41,
532,1988,CB,4.89,2.74,1.63,17,32.5,903,,
533,1988,LB,4.51,2.61,1.61,18,,,,
534,1988,TE,,,,18,,,,
535,1988,WR,4.45,2.6,1.57,4,35.5,909,4.31,
536,1988,WR,,,,,,,,
537,1988,FS,4.69,2.78,1.68,14,31.5,903,4.35,
538,1988,LB,4.73,2.78,1.72,23,32,906,4.28,
539,1988,OG,5.02,2.98,1.78,25,30,900,4.3,
540,1988,WR,,,,,,,,
541,1988,DT,,,,,,,,
542,1988,LB,4.94,2.9,1.73,19,30.5,806,4.5,
543,1988,RB,4.63,2.68,1.66,8,30.5,900,4.32,
544,1988,CB,4.6,2.71,1.62,15,31.5,808,4.47,
