Rank,WSID,Running Backs (Team),Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
146,,Andy JanovichA. Janovich DEN,10,94,124,110.8,12.0,120.0,-26.0
147,,James WilliamsJ. Williams FA,,82,140,119.0,20.2,130.0,-17.0
148,,Paul PerkinsP. Perkins NYG,11,65,157,125.7,18.9,249.0,+101.0
149,,Kenjon BarnerK. Barner ATL,9,96,149,121.4,18.6,243.0,+94.0
150,,David FluellenD. Fluellen TEN,11,100,131,114.5,11.3,246.0,+96.0
151,,CJ HamC. Ham MIN,12,85,114,102.7,12.7,203.0,+52.0
152,,Zach LineZ. Line NO,9,98,108,103.3,4.1,183.0,+31.0
Tier 11,
153,,Anthony ShermanA. Sherman KC,12,101,115,109.7,6.2,116.0,-37.0
154,,Damarea CrockettD. Crockett HOU,10,100,144,122.8,16.1,,
155,,Shaun WilsonS. Wilson WAS,10,120,130,123.3,4.0,219.0,+64.0
156,,Patrick DiMarcoP. DiMarco BUF,6,104,132,117.7,11.4,251.0,+95.0
157,,Detrez NewsomeD. Newsome LAC,12,112,145,126.3,12.0,166.0,+9.0
158,,Jamize OlawaleJ. Olawale DAL,8,116,122,118.7,2.5,199.0,+41.0
159,,Taquan MizzellT. Mizzell CHI,6,121,154,133.0,11.7,,
160,,Alex ArmahA. Armah CAR,7,117,143,128.3,10.1,247.0,+87.0
161,,Ricky OrtizR. Ortiz ATL,9,96,120,108.0,12.0,197.0,+36.0
162,,Kapri BibbsK. Bibbs FA,,78,141,109.5,31.5,139.0,-23.0
163,,Keith SmithK. Smith OAK,6,113,113,113.0,0.0,244.0,+81.0
164,,Jonathan WilliamsJ. Williams IND,6,121,136,129.0,6.2,204.0,+40.0
165,,Charcandrick WestC. West FA,,105,143,129.3,17.2,138.0,-27.0
166,,Jeremy McNicholsJ. McNichols TEN,11,117,124,120.5,3.5,217.0,+51.0
167,,Thomas RawlsT. Rawls JAC,10,117,134,125.5,8.5,164.0,-3.0
168,,Kerrith WhyteK. Whyte CHI,6,120,131,125.5,5.5,,
169,,Justin DavisJ. Davis LAR,9,127,143,134.3,6.6,228.0,+59.0
170,,Roosevelt NixR. Nix PIT,7,111,144,127.5,16.5,248.0,+78.0
171,,Elijah HoodE. Hood CAR,7,121,139,130.0,9.0,146.0,-25.0
172,,Brandon BoldenB. Bolden NE,10,126,156,141.3,12.3,156.0,-16.0
173,,De'Angelo HendersonD. Henderson MIN,12,130,141,135.5,5.5,182.0,+9.0
174,,Trey EdmundsT. Edmunds PIT,7,122,152,137.0,15.0,227.0,+53.0
175,,Derek WattD. Watt LAC,12,127,147,137.0,10.0,238.0,+63.0
176,,De'Lance TurnerD. Turner BAL,8,127,150,138.5,11.5,212.0,+36.0
177,,Byron MarshallB. Marshall WAS,10,129,151,140.0,11.0,240.0,+63.0
178,,Troymaine PopeT. Pope LAC,12,141,143,142.0,1.0,223.0,+45.0
179,,Quinton FlowersQ. Flowers CIN,9,134,158,146.0,12.0,226.0,+47.0
