Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
241,,Carolina (CAR)CAR DST,DST20,7,201,279,252.8,15.2
242,,Adam VinatieriA. Vinatieri IND,K13,6,217,308,247.1,18.4
243,,Demaryius ThomasD. Thomas NE,WR83,10,157,286,215.8,33.0
244,,Graham GanoG. Gano CAR,K14,7,214,281,243.6,13.9
245,,David MontgomeryD. Montgomery CHI,RB69,6,80,358,165.9,98.9
246,,Austin Seferian-JenkinsA. Seferian-Jenkins NE,TE29,10,108,324,238.7,45.4
247,,Aldrick RosasA. Rosas NYG,K15,11,220,297,256.2,20.5
248,,Jason MyersJ. Myers SEA,K16,11,226,352,259.0,26.7
249,,Corey ClementC. Clement PHI,RB70,10,181,293,255.0,26.3
250,,Danny AmendolaD. Amendola DET,WR84,5,169,327,255.7,37.5
251,,Keelan ColeK. Cole JAC,WR85,10,212,279,249.5,15.9
252,,Jordan WilkinsJ. Wilkins IND,RB71,6,199,308,251.3,22.0
253,,Dan BaileyD. Bailey MIN,K17,12,233,301,266.6,21.5
254,,Chris BoswellC. Boswell PIT,K18,7,218,299,273.2,20.7
255,,Chris ConleyC. Conley JAC,WR86,10,175,305,255.5,20.2
256,,Justin JacksonJ. Jackson LAC,RB72,12,199,326,256.1,21.7
257,,Spencer WareS. Ware FA,RB73,,146,283,215.0,42.4
258,,Nick VannettN. Vannett SEA,TE30,11,225,291,257.1,14.1
259,,Jake ButtJ. Butt DEN,TE31,10,236,298,257.6,13.5
260,,Atlanta (ATL)ATL DST,DST21,9,176,308,264.7,23.8
261,,Michael CrabtreeM. Crabtree FA,WR87,,197,367,241.6,43.0
Tier 12,
262,,Ryan SuccopR. Succop TEN,K19,11,224,300,272.2,20.8
263,,Parris CampbellP. Campbell IND,WR88,6,128,366,193.5,62.1
264,,Doug MartinD. Martin FA,RB74,,142,328,228.4,59.7
265,,Matt BryantM. Bryant FA,K20,,202,308,249.3,29.4
266,,Case KeenumC. Keenum WAS,QB32,10,235,329,271.8,26.3
267,,Cole BeasleyC. Beasley BUF,WR89,6,141,345,267.4,28.1
268,,Wendell SmallwoodW. Smallwood PHI,RB75,10,190,358,267.6,27.7
269,,Alex CollinsA. Collins FA,RB76,,146,296,220.3,46.5
270,,Phillip DorsettP. Dorsett NE,WR90,10,155,371,275.2,40.2
271,,John KellyJ. Kelly LAR,RB77,9,235,323,269.5,23.7
272,,Green Bay (GB)GB DST,DST22,11,164,303,276.9,34.0
273,,Arizona (ARI)ARI DST,DST23,12,176,311,274.7,23.1
274,,Chris HoganC. Hogan CAR,WR91,7,222,296,261.4,21.5
275,,Charles ClayC. Clay ARI,TE32,12,209,353,269.1,25.6
276,,Miles SandersM. Sanders PHI,RB78,10,84,168,129.1,22.1
277,,Devontae BookerD. Booker DEN,RB79,10,217,335,279.6,22.3
278,,Ryan FitzpatrickR. Fitzpatrick MIA,QB33,5,150,337,248.4,55.4
279,,Cordarrelle PattersonC. Patterson CHI,WR92,6,144,307,273.6,27.4
280,,N'Keal HarryN. Harry NE,WR93,10,96,356,189.6,66.4
281,,Trey QuinnT. Quinn WAS,WR94,10,113,297,226.8,39.6
282,,Brandon McManusB. McManus DEN,K21,10,231,298,281.9,13.0
283,,T.J. HockensonT. Hockenson DET,TE33,5,78,247,193.2,45.1
284,,Josh LamboJ. Lambo JAC,K22,10,216,319,289.1,21.0
285,,Ryan GrantR. Grant OAK,WR95,6,229,367,272.5,30.0
286,,A.J. BrownA. Brown TEN,WR96,11,128,317,217.5,45.5
287,,Cameron MeredithC. Meredith NO,WR97,9,250,304,279.9,16.9
288,,Breshad PerrimanB. Perriman TB,WR98,7,184,378,282.1,32.3
289,,Luke WillsonL. Willson OAK,TE34,6,242,305,276.1,14.6
290,,Rashard HigginsR. Higgins CLE,WR99,7,242,385,276.5,32.5
291,,Greg JosephG. Joseph CLE,K23,7,179,325,289.0,24.5
292,,Darrell HendersonD. Henderson LAR,RB80,9,84,381,208.2,92.4
293,,D.K. MetcalfD. Metcalf SEA,WR100,11,113,333,227.0,52.9
294,,Noah FantN. Fant DEN,TE35,10,121,290,213.2,44.9
295,,Ryan TannehillR. Tannehill TEN,QB34,11,254,348,297.5,29.4
296,,Steven HauschkaS. Hauschka BUF,K24,6,213,322,298.6,19.3
297,,Detroit (DET)DET DST,DST24,5,165,315,300.6,9.6
298,,Wayne GallmanW. Gallman NYG,RB81,11,256,312,289.9,14.9
299,,Marquise BrownM. Brown BAL,WR101,8,169,369,229.8,57.6
300,,Pierre GarconP. Garcon FA,WR102,,227,316,279.0,18.1
301,,Dez BryantD. Bryant FA,WR103,,129,341,260.5,38.6
302,,Cairo SantosC. Santos TB,K25,7,183,326,304.9,23.2
303,,J'Mon MooreJ. Moore GB,WR104,11,248,315,282.8,17.7
304,,Deon CainD. Cain IND,WR105,6,266,323,290.6,17.2
305,,Washington (WAS)WAS DST,DST25,10,152,314,302.3,18.9
306,,Jake KumerowJ. Kumerow GB,WR106,11,236,346,294.1,25.7
307,,Jeff WilsonJ. Wilson SF,RB82,4,257,380,301.1,28.8
308,,Jonnu SmithJ. Smith TEN,TE36,11,223,305,272.6,17.0
309,,Trent TaylorT. Taylor SF,WR107,4,253,370,303.5,24.6
310,,Alfred BlueA. Blue JAC,RB83,10,238,352,309.1,30.9
311,,Devin SingletaryD. Singletary BUF,RB84,6,146,364,235.6,78.0
312,,New York (NYG)NYG DST,DST26,11,159,325,309.3,10.2
313,,Dwayne HaskinsD. Haskins WAS,QB35,10,178,333,277.2,43.2
314,,Kelvin BenjaminK. Benjamin FA,WR108,,243,333,287.3,26.4
315,,Sebastian JanikowskiS. Janikowski FA,K26,,221,324,294.7,14.4
316,,Daniel CarlsonD. Carlson OAK,K27,6,192,332,312.3,13.0
317,,Ameer AbdullahA. Abdullah MIN,RB85,12,256,336,303.2,23.1
318,,Justice HillJ. Hill BAL,RB86,8,132,280,223.6,39.3
319,,Damien HarrisD. Harris NE,RB87,10,130,347,259.0,61.8
320,,Keith KirkwoodK. Kirkwood NO,WR109,9,280,358,313.8,20.4
Tier 13,
321,,Chester RogersC. Rogers IND,WR110,6,271,350,309.9,21.8
322,,Kendrick BourneK. Bourne SF,WR111,4,242,377,298.8,35.8
323,,Bilal PowellB. Powell FA,RB88,,191,362,284.4,35.3
324,,J.J. Arcega-WhitesideJ. Arcega-Whiteside PHI,WR112,10,174,265,208.8,30.7
325,,Mecole HardmanM. Hardman KC,WR113,12,198,223,209.5,8.4
326,,Miami (MIA)MIA DST,DST27,5,140,338,317.9,14.8
327,,Ty MontgomeryT. Montgomery NYJ,RB89,4,281,331,308.9,12.1
328,,Tampa Bay (TB)TB DST,DST28,7,145,346,318.4,14.0
329,,Jermaine KearseJ. Kearse FA,WR114,,262,381,305.8,27.5
330,,Cody ParkeyC. Parkey FA,K28,,204,333,307.5,18.0
331,,Rod SmithR. Smith FA,RB90,,258,336,294.1,22.1
332,,Laquon TreadwellL. Treadwell MIN,WR115,12,269,343,308.2,20.0
333,,Rob GronkowskiR. Gronkowski FA,TE37,,92,335,153.3,104.9
334,,Hakeem ButlerH. Butler ARI,WR116,12,194,290,251.9,31.6
335,,Mark WaltonM. Walton FA,RB91,,271,337,301.3,15.9
336,,Blake BortlesB. Bortles LAR,QB36,9,275,355,314.8,24.4
337,,Andy IsabellaA. Isabella ARI,WR117,12,124,364,236.3,63.7
338,,Javorius AllenJ. Allen FA,RB92,,260,351,304.7,18.7
339,,Zach ZennerZ. Zenner DET,RB93,5,271,359,324.1,21.7
340,,Mike WeberM. Weber DAL,RB94,8,177,362,251.7,65.4
341,,Deebo SamuelD. Samuel SF,WR118,4,124,243,191.0,42.9
