Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
167,,Adam HumphriesA. Humphries TEN,WR63,11,104,378,175.7,43.2,182.0,+15.0
168,,Jamaal WilliamsJ. Williams GB,RB57,11,104,279,173.7,30.3,203.0,+35.0
169,,C.J. AndersonC. Anderson DET,RB58,5,123,289,180.5,30.6,189.0,+20.0
170,,Noah FantN. Fant DEN,TE23,10,69,282,175.0,39.2,168.0,-2.0
171,,Robert FosterR. Foster BUF,WR64,6,99,295,176.5,44.2,241.0,+70.0
172,,Jacksonville (JAC)JAC DST,DST2,10,130,246,154.0,17.4,136.0,-36.0
173,,Marquise GoodwinM. Goodwin SF,WR65,4,97,333,175.9,43.6,217.0,+44.0
174,,Devante ParkerD. Parker MIA,WR66,5,79,276,179.5,34.3,202.0,+28.0
175,,Quincy EnunwaQ. Enunwa NYJ,WR67,4,107,298,180.8,36.1,279.0,+104.0
176,,Justin JacksonJ. Jackson LAC,RB59,12,83,320,193.8,50.5,166.0,-10.0
177,,Justice HillJ. Hill BAL,RB60,8,98,322,191.7,51.6,170.0,-7.0
178,,Mike DavisM. Davis CHI,RB61,6,126,322,189.8,37.9,234.0,+56.0
179,,Andy DaltonA. Dalton CIN,QB26,9,118,241,181.3,20.4,236.0,+57.0
180,,Tre'Quan SmithT. Smith NO,WR68,9,82,269,182.5,32.3,183.0,+3.0
181,,Los Angeles (LAR)LAR DST,DST3,9,144,239,159.9,15.4,101.0,-80.0
182,,Minnesota (MIN)MIN DST,DST4,12,134,244,164.1,14.3,144.0,-38.0
183,,Deebo SamuelD. Samuel SF,WR69,4,81,317,181.6,45.2,210.0,+27.0
184,,Baltimore (BAL)BAL DST,DST5,8,144,277,165.2,25.8,156.0,-28.0
185,,Greg ZuerleinG. Zuerlein LAR,K1,9,143,247,173.4,11.3,122.0,-63.0
186,,Jalen RichardJ. Richard OAK,RB62,6,100,274,197.8,35.4,200.0,+14.0
187,,David MooreD. Moore SEA,WR70,11,96,343,197.6,34.8,283.0,+96.0
188,,Mike GesickiM. Gesicki MIA,TE24,5,69,299,190.8,39.1,228.0,+40.0
