Rank,WSID,Wide Receivers (Team),Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
169,,Marcell AtemanM. Ateman OAK,6,112,172,150.4,14.3,,
170,,Dylan CantrellD. Cantrell LAC,12,119,167,151.0,13.5,149.0,-21.0
171,,Vyncint SmithV. Smith HOU,10,136,183,158.2,16.5,,
172,,Darius SlaytonD. Slayton NYG,11,116,138,125.7,9.2,124.0,-48.0
173,,Gehrig DieterG. Dieter KC,12,119,159,142.5,16.2,,
174,,Russell GageR. Gage ATL,9,133,163,149.5,11.8,,
175,,Braxton BerriosB. Berrios NE,10,131,172,149.8,15.4,142.0,-33.0
176,,Bobo WilsonB. Wilson TB,7,130,150,136.7,9.4,,
177,,Andre RobertsA. Roberts BUF,6,130,180,151.3,18.1,,
178,,Andy JonesA. Jones DET,5,142,162,151.8,8.4,,
179,,Jordan TaylorJ. Taylor MIN,12,105,157,138.7,23.8,,
180,,Seth RobertsS. Roberts BAL,8,125,149,139.7,10.5,131.0,-49.0
181,,Kevin WhiteK. White ARI,12,138,177,161.0,13.9,153.0,-28.0
182,,Amara DarbohA. Darboh SEA,11,151,161,155.3,3.8,,
183,,Preston WilliamsP. Williams MIA,5,123,169,144.7,18.9,114.0,-69.0
184,,Marcus KempM. Kemp KC,12,125,183,158.5,23.5,,
185,,Deontay BurnettD. Burnett NYJ,4,139,153,147.7,6.2,,
186,,Auden TateA. Tate CIN,9,152,172,159.5,7.6,,
187,,Russell ShepardR. Shepard NYG,11,125,175,154.7,21.5,,
188,,Artavis ScottA. Scott LAC,12,146,173,155.0,12.7,,
189,,Mike WallaceM. Wallace FA,,126,149,137.5,11.5,,
190,,Charone PeakeC. Peake NYJ,4,134,185,157.0,21.1,,
191,,Martavis BryantM. Bryant FA,,138,146,142.0,4.0,,
192,,Terrance WilliamsT. Williams FA,,136,150,143.0,7.0,,
193,,Emanuel HallE. Hall CHI,6,145,188,161.7,18.8,108.0,-85.0
194,,Shelton GibsonS. Gibson PHI,10,166,183,175.0,6.4,,
195,,Travis FulghamT. Fulgham DET,5,126,175,150.5,24.5,157.0,-38.0
196,,Josh MaloneJ. Malone CIN,9,150,176,165.7,11.3,,
197,,River CracraftR. Cracraft DEN,10,161,179,173.3,7.2,,
Tier 13,
198,,Derrick WilliesD. Willies CLE,7,156,158,157.0,1.0,,
199,,Saeed BlacknallS. Blacknall OAK,6,154,161,157.5,3.5,,
